,L,R
0,0.15740740740740744,-10.201240433578036
1,0.19444444444444442,-3.8625676275241756
2,0.17592592592592593,-5.507340129950901
3,0.19444444444444442,-5.198996378064548
4,0.11111111111111116,-8.219182327363905
5,0.10185185185185186,-9.001676591042127
6,0.10185185185185186,-10.41559416068636
7,0.12037037037037035,-9.555182940596982
8,0.11111111111111116,-10.386804128563101
9,0.11111111111111116,-10.490694500179718
10,0.11111111111111116,-10.771351101150543
11,0.11111111111111116,-10.490635511760592
12,0.11111111111111116,-10.371087783883064
13,0.11111111111111116,-10.937587861590492
14,0.11111111111111116,-10.758236032819397
15,0.11111111111111116,-11.00139744227901
16,0.11111111111111116,-10.41694008398939
17,0.11111111111111116,-9.370497384486285
18,0.11111111111111116,-9.516582725394999
19,0.11111111111111116,-10.966555306731678
20,0.11111111111111116,-11.583441005475589
21,0.11111111111111116,-11.568661924532686
22,0.11111111111111116,-11.576560929566194
23,0.11111111111111116,-11.715861593506114
24,0.11111111111111116,-11.484985935678184
25,0.11111111111111116,-10.731008442530326
26,0.11111111111111116,-10.95130897083232
27,0.11111111111111116,-10.609993015653838
28,0.11111111111111116,-11.488899215923198
29,0.11111111111111116,-10.713428994068789
30,0.11111111111111116,-11.011201758144345
31,0.11111111111111116,-10.744023270956832
32,0.12037037037037035,-10.297720679000436
33,0.11111111111111116,-10.627243401148709
34,0.11111111111111116,-10.597270683912992
35,0.11111111111111116,-11.069517136305535
36,0.11111111111111116,-11.142837486371977
37,0.10185185185185186,-11.188571355706868
38,0.11111111111111116,-11.445863805857034
39,0.11111111111111116,-11.642744717428894
