,DS,MV,proposed1(wcv)
0,1.0,0.999,1.0
0,0.999,0.997,1.0
0,0.999,0.999,0.999
0,0.999,0.998,1.0
0,0.997,0.99,0.998
0,0.998,0.995,0.999
0,1.0,0.995,0.999
0,0.998,0.989,1.0
0,0.996,0.989,0.999
0,1.0,0.985,0.998
0,0.999,0.988,0.999
0,0.997,0.987,0.997
0,0.999,0.979,1.0
0,0.999,0.985,0.999
0,0.999,0.979,0.999
0,0.999,0.977,1.0
0,0.998,0.977,0.999
0,0.999,0.962,0.998
0,1.0,0.955,0.998
0,1.0,0.952,1.0
0,0.997,0.946,0.997
0,0.997,0.935,0.999
0,1.0,0.953,1.0
0,0.997,0.93,0.997
0,0.999,0.923,0.999
0,0.997,0.928,0.998
0,0.999,0.907,0.999
0,1.0,0.888,1.0
0,0.998,0.872,0.999
0,0.999,0.862,0.999
0,0.999,0.85,0.999
0,0.996,0.835,0.999
0,0.999,0.799,0.999
0,0.999,0.829,0.999
0,1.0,0.777,1.0
0,1.0,0.752,1.0
0,1.0,0.759,1.0
0,0.999,0.741,1.0
0,0.997,0.709,0.998
0,1.0,0.705,1.0
0,1.0,0.687,0.999
0,0.999,0.71,0.999
0,1.0,0.629,1.0
0,1.0,0.64,0.999
0,0.996,0.607,0.996
0,0.999,0.571,1.0
0,1.0,0.556,1.0
0,1.0,0.53,1.0
0,0.999,0.522,1.0
0,0.997,0.497,0.998
0,0.0,0.444,0.0
0,0.001,0.432,0.0
0,0.0,0.439,0.0
0,0.001,0.415,0.0
0,0.001,0.368,0.001
0,0.0,0.325,0.0
0,0.001,0.344,0.001
0,0.0,0.34,0.0
0,0.003,0.319,0.001
0,0.002,0.279,0.0
0,0.0,0.277,0.0
0,0.001,0.256,0.001
0,0.001,0.221,0.001
0,0.004,0.204,0.002
0,0.002,0.205,0.002
0,0.0,0.185,0.001
0,0.002,0.183,0.002
0,0.003,0.157,0.002
0,0.0,0.134,0.0
0,0.001,0.133,0.0
0,0.001,0.115,0.0
0,0.001,0.117,0.0
0,0.001,0.096,0.0
0,0.001,0.086,0.002
0,0.001,0.084,0.0
0,0.004,0.082,0.0
0,0.0,0.048,0.0
0,0.001,0.057,0.001
0,0.001,0.046,0.0
0,0.002,0.037,0.0
0,0.001,0.039,0.0
0,0.003,0.04,0.002
0,0.002,0.029,0.001
0,0.0,0.025,0.0
0,0.001,0.028,0.0
0,0.0,0.015,0.0
0,0.0,0.012,0.0
0,0.0,0.015,0.002
0,0.001,0.011,0.001
0,0.0,0.003,0.0
0,0.0,0.002,0.0
0,0.001,0.005,0.0
0,0.0,0.002,0.0
0,0.001,0.002,0.0
0,0.001,0.003,0.001
0,0.0,0.002,0.0
0,0.0,0.002,0.0
0,0.0,0.0,0.0
0,0.001,0.002,0.001
0,0.0,0.0,0.0
0,0.002,0.002,0.001
