,DS,MV,proposed1(wcv)
0,0.7,0.925,0.939
0,0.7,0.906,0.936
0,0.7,0.908,0.941
0,0.7,0.897,0.931
0,0.7,0.899,0.94
0,0.7,0.872,0.928
0,0.7,0.86,0.931
0,0.7,0.858,0.936
0,0.7,0.853,0.937
0,0.7,0.836,0.926
0,0.7,0.798,0.938
0,0.7,0.833,0.935
0,0.7,0.81,0.946
0,0.7,0.787,0.919
0,0.7,0.802,0.952
0,0.7,0.797,0.934
0,0.7,0.773,0.921
0,0.7,0.783,0.933
0,0.7,0.772,0.936
0,0.7,0.756,0.947
0,0.7,0.746,0.933
0,0.7,0.739,0.947
0,0.7,0.71,0.928
0,0.7,0.727,0.936
0,0.7,0.702,0.928
0,0.7,0.734,0.945
0,0.7,0.686,0.928
0,0.7,0.673,0.951
0,0.7,0.689,0.93
0,0.7,0.647,0.941
0,0.7,0.661,0.94
0,0.7,0.604,0.925
0,0.7,0.633,0.935
0,0.7,0.638,0.943
0,0.7,0.603,0.929
0,0.7,0.596,0.929
0,0.7,0.572,0.946
0,0.7,0.575,0.918
0,0.7,0.572,0.937
0,0.7,0.571,0.947
0,0.7,0.566,0.936
0,0.7,0.535,0.944
0,0.7,0.543,0.926
0,0.7,0.571,0.927
0,0.7,0.531,0.933
0,0.7,0.494,0.948
0,0.7,0.488,0.918
0,0.7,0.474,0.947
0,0.7,0.483,0.074
0,0.7,0.478,0.059
0,0.7,0.484,0.932
0,0.3,0.445,0.06
0,0.3,0.427,0.051
0,0.3,0.475,0.071
0,0.3,0.423,0.07
0,0.3,0.396,0.058
0,0.3,0.412,0.055
0,0.3,0.358,0.067
0,0.3,0.394,0.061
0,0.3,0.377,0.073
0,0.3,0.369,0.078
0,0.3,0.343,0.05
0,0.3,0.352,0.055
0,0.3,0.364,0.069
0,0.3,0.328,0.076
0,0.3,0.354,0.054
0,0.3,0.3,0.066
0,0.3,0.298,0.059
0,0.3,0.294,0.073
0,0.3,0.28,0.077
0,0.3,0.294,0.069
0,0.3,0.276,0.058
0,0.3,0.254,0.057
0,0.3,0.265,0.067
0,0.3,0.228,0.064
0,0.3,0.221,0.058
0,0.3,0.216,0.06
0,0.3,0.223,0.061
0,0.3,0.188,0.055
0,0.3,0.2,0.063
0,0.3,0.177,0.066
0,0.3,0.187,0.072
0,0.3,0.173,0.066
0,0.3,0.191,0.072
0,0.3,0.185,0.064
0,0.3,0.154,0.065
0,0.3,0.159,0.065
0,0.299,0.156,0.058
0,0.3,0.149,0.073
0,0.3,0.126,0.061
0,0.3,0.114,0.055
0,0.3,0.069,0.045
0,0.3,0.11,0.076
0,0.3,0.092,0.055
0,0.3,0.096,0.057
0,0.3,0.088,0.065
0,0.3,0.078,0.066
0,0.3,0.08,0.064
0,0.3,0.061,0.061
0,0.3,0.08,0.093
0,0.3,0.064,0.064
