,DS,MV,proposed1(wcv)
0,0.7,0.9079999999999999,0.9229999999999999
1,0.7,0.898,0.9259999999999999
2,0.7,0.879,0.922
3,0.7,0.885,0.935
4,0.7,0.863,0.924
5,0.7,0.846,0.909
6,0.7,0.857,0.9359999999999999
7,0.7,0.836,0.888
8,0.7,0.8390000000000001,0.92
9,0.7,0.838,0.9159999999999999
10,0.7,0.8140000000000001,0.921
11,0.7,0.795,0.922
12,0.7,0.833,0.9209999999999999
13,0.7,0.773,0.924
14,0.7,0.768,0.895
15,0.7,0.757,0.9359999999999999
16,0.7,0.78,0.9259999999999999
17,0.7,0.731,0.897
18,0.7,0.74,0.929
19,0.7,0.7759999999999999,0.9440000000000001
20,0.7,0.735,0.9
21,0.7,0.706,0.857
22,0.7,0.735,0.919
23,0.7,0.718,0.889
24,0.7,0.698,0.924
25,0.7,0.682,0.894
26,0.7,0.705,0.905
27,0.7,0.6629999999999999,0.8590000000000001
28,0.7,0.669,0.878
