,L,R
0,0.19499999999999995,-18.894775165786985
1,0.25,-11.3630029301743
2,0.04400000000000004,-77.87373428568573
3,0.049000000000000044,-81.66636969709553
4,0.04700000000000004,-80.38562796016298
5,0.050000000000000044,-85.9299001556102
6,0.04700000000000004,-88.98148912270891
7,0.04800000000000004,-84.82719332686476
8,0.04700000000000004,-86.6116590193673
9,0.04200000000000004,-85.51575232241012
10,0.04200000000000004,-83.88257241089107
11,0.04700000000000004,-82.61693391429972
12,0.04700000000000004,-90.68809122472173
13,0.04300000000000004,-88.43640062727789
14,0.04800000000000004,-87.28564199949308
15,0.04200000000000004,-84.98919124516352
16,0.04700000000000004,-90.45745846494927
17,0.04300000000000004,-85.69861982881352
18,0.04300000000000004,-85.23876406947548
19,0.04300000000000004,-87.36567453573221
20,0.04300000000000004,-85.41819434358591
21,0.04300000000000004,-83.67530544003125
22,0.04300000000000004,-85.53047411276445
23,0.04200000000000004,-80.05294746021333
24,0.04800000000000004,-86.5681915212097
25,0.04400000000000004,-85.01872707557423
26,0.04300000000000004,-86.00193861330119
27,0.04300000000000004,-87.28985278563266
28,0.04300000000000004,-83.51675295137618
29,0.04300000000000004,-86.2388043680181
30,0.04200000000000004,-84.81046496518005
31,0.04300000000000004,-81.74827784219434
32,0.04200000000000004,-91.8871911341456
33,0.04200000000000004,-82.67192592980952
34,0.04300000000000004,-85.40316106688115
35,0.04400000000000004,-84.57306546873441
36,0.04300000000000004,-85.73220578301856
37,0.04300000000000004,-85.52931584017979
38,0.04300000000000004,-88.36687490343871
39,0.04400000000000004,-85.5113471567934
40,0.04300000000000004,-83.75564682149134
41,0.04300000000000004,-85.83727586691712
42,0.04300000000000004,-87.0722466947937
43,0.04300000000000004,-84.86756200369561
44,0.04200000000000004,-86.2581183190371
45,0.04200000000000004,-83.29080377711121
46,0.04300000000000004,-86.22984509990226
47,0.04600000000000004,-82.458218005272
48,0.04400000000000004,-88.78153504217855
49,0.04200000000000004,-92.81642934117754
50,0.04400000000000004,-82.06061376501135
51,0.04300000000000004,-82.8925064387812
52,0.04300000000000004,-82.48118059024868
53,0.04300000000000004,-82.3334821030652
54,0.04300000000000004,-84.44245747235404
55,0.04300000000000004,-81.00899265912845
56,0.04300000000000004,-85.1417358302473
57,0.04400000000000004,-83.94270237032241
58,0.04200000000000004,-82.94071462244433
59,0.04300000000000004,-84.3430186629257
60,0.04400000000000004,-82.60484643299148
61,0.04300000000000004,-84.91468266879775
62,0.04400000000000004,-83.87926655666374
63,0.04400000000000004,-81.3104758675772
64,0.04300000000000004,-85.41744471128864
65,0.04400000000000004,-79.85398665532234
66,0.04300000000000004,-85.46712555170558
67,0.04200000000000004,-83.67161952451154
68,0.04300000000000004,-82.4837854490654
69,0.04300000000000004,-85.38317779776264
70,0.04200000000000004,-81.24380194036534
71,0.04400000000000004,-84.32046903289837
72,0.04300000000000004,-83.17372043959053
73,0.04300000000000004,-81.29357762035339
74,0.04300000000000004,-83.39290835218377
75,0.04300000000000004,-82.42792329019572
76,0.04300000000000004,-85.56415877947606
77,0.04300000000000004,-85.19493032889046
78,0.04300000000000004,-83.70268537059793
79,0.04300000000000004,-84.8767526302455
80,0.04300000000000004,-81.51014122073879
81,0.04200000000000004,-85.76340490748144
82,0.04200000000000004,-86.05427537902065
83,0.04400000000000004,-85.4781225469684
84,0.04200000000000004,-86.21682961383142
85,0.04300000000000004,-84.33374778398499
86,0.04300000000000004,-79.49692548353242
87,0.04200000000000004,-88.73019194472157
88,0.04200000000000004,-85.67757304030482
89,0.04200000000000004,-86.06122135285895
90,0.04300000000000004,-89.53067872925956
91,0.04300000000000004,-82.89192873487683
92,0.04600000000000004,-86.42381471455262
93,0.04300000000000004,-79.97144013224212
94,0.04700000000000004,-82.05641526816373
95,0.04700000000000004,-87.04123522574422
96,0.04300000000000004,-86.95540752311027
97,0.04200000000000004,-91.8846954608428
98,0.04200000000000004,-92.53882563366312
99,0.04300000000000004,-72.33605263493287
100,0.04300000000000004,-83.8978654791525
