,DS,MV,proposed1(wcv)
0,0.91,0.96,0.96
0,0.9,0.9,0.95
0,0.91,0.92,0.96
0,0.93,0.92,0.99
0,0.84,0.89,0.95
0,0.91,0.92,0.96
0,0.93,0.87,0.97
0,0.93,0.91,0.95
0,0.86,0.83,0.96
0,0.92,0.8,0.97
0,0.92,0.83,0.97
0,0.92,0.73,0.96
0,0.92,0.67,0.98
0,0.87,0.74,0.96
0,0.83,0.74,0.94
0,0.94,0.7,0.97
0,0.91,0.65,0.96
0,0.86,0.64,0.94
0,0.96,0.65,0.97
0,0.89,0.63,0.94
0,0.91,0.55,0.71
0,0.89,0.6,0.93
0,0.87,0.55,0.76
0,0.91,0.46,0.62
0,0.05,0.49,0.62
0,0.91,0.52,0.41
0,0.85,0.42,0.5
0,0.16,0.43,0.05
0,0.13,0.35,0.09
0,0.05,0.35,0.03
0,0.14,0.33,0.14
0,0.02,0.3,0.04
0,0.1,0.27,0.29
0,0.1,0.26,0.02
0,0.15,0.25,0.05
0,0.12,0.28,0.07
0,0.09,0.17,0.04
0,0.16,0.21,0.08
0,0.12,0.13,0.01
0,0.11,0.22,0.07
0,0.04,0.13,0.02
0,0.02,0.1,0.04
0,0.19,0.12,0.01
0,0.21,0.11,0.01
0,0.02,0.06,0.01
0,0.06,0.03,0.0
0,0.11,0.11,0.07
0,0.14,0.05,0.03
0,0.05,0.03,0.02
0,0.1,0.02,0.02
0,0.07,0.01,0.01
