,DS,MV,proposed1(wcv)
0,0.98,0.98,0.97
0,0.97,0.98,0.96
0,0.99,1.0,0.99
0,0.99,1.0,0.99
0,1.0,0.96,1.0
0,1.0,0.97,1.0
0,1.0,0.97,1.0
0,0.97,0.94,0.98
0,0.99,0.87,1.0
0,0.99,0.91,1.0
0,0.99,0.87,0.98
0,1.0,0.9,1.0
0,1.0,0.86,1.0
0,0.97,0.87,0.98
0,0.99,0.8,0.99
0,1.0,0.8,1.0
0,1.0,0.69,1.0
0,0.99,0.7,1.0
0,0.96,0.71,0.96
0,0.98,0.7,0.99
0,0.99,0.65,0.65
0,0.98,0.69,0.5
0,0.99,0.56,0.56
0,0.98,0.6,0.6
0,1.0,0.52,0.6
0,0.02,0.53,0.51
0,0.0,0.48,0.45
0,0.01,0.39,0.43
0,0.0,0.24,0.24
0,0.05,0.4,0.5
0,0.0,0.31,0.31
0,0.01,0.31,0.0
0,0.01,0.27,0.32
0,0.02,0.26,0.03
0,0.0,0.19,0.0
0,0.01,0.21,0.02
0,0.03,0.19,0.03
0,0.0,0.18,0.0
0,0.0,0.17,0.01
0,0.0,0.08,0.0
0,0.01,0.11,0.01
0,0.01,0.08,0.0
0,0.02,0.12,0.02
0,0.0,0.03,0.0
0,0.01,0.06,0.0
0,0.02,0.06,0.03
0,0.01,0.02,0.01
0,0.0,0.02,0.0
0,0.0,0.01,0.0
0,0.01,0.02,0.01
0,0.02,0.01,0.01
