,DS,MV,proposed1(wcv)
0,0.8,0.93,0.94
0,0.8,0.89,0.94
0,0.8,0.86,0.89
0,0.8,0.83,0.86
0,0.8,0.85,0.95
0,0.8,0.74,0.75
0,0.81,0.86,0.92
0,0.8,0.76,0.89
0,0.8,0.78,0.86
0,0.8,0.79,0.87
0,0.8,0.69,0.87
0,0.8,0.78,0.81
0,0.8,0.73,0.85
0,0.8,0.63,0.82
0,0.8,0.6,0.75
0,0.8,0.66,0.75
0,0.81,0.64,0.8
0,0.8,0.56,0.8
0,0.8,0.57,0.8
0,0.8,0.54,0.6
0,0.8,0.51,0.8
0,0.81,0.5,0.63
0,0.81,0.51,0.8
0,0.8,0.48,0.3
0,0.8,0.56,0.78
0,0.8,0.37,0.8
0,0.2,0.42,0.2
0,0.8,0.52,0.6
0,0.2,0.34,0.2
0,0.2,0.37,0.21
0,0.81,0.41,0.81
0,0.2,0.34,0.2
0,0.2,0.33,0.2
0,0.2,0.36,0.2
0,0.2,0.31,0.21
0,0.2,0.24,0.2
0,0.2,0.26,0.19
0,0.31,0.25,0.25
0,0.2,0.3,0.17
0,0.2,0.22,0.19
0,0.2,0.17,0.2
0,0.2,0.21,0.2
0,0.2,0.18,0.16
0,0.2,0.18,0.17
0,0.2,0.1,0.11
0,0.2,0.09,0.1
0,0.2,0.11,0.11
0,0.19,0.08,0.08
0,0.2,0.1,0.07
0,0.2,0.1,0.1
0,0.2,0.11,0.11
