,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,1.0,0.95,1.0
0,1.0,0.98,1.0
0,1.0,0.96,1.0
0,1.0,0.91,1.0
0,1.0,0.87,1.0
0,1.0,0.85,1.0
0,1.0,0.78,1.0
0,1.0,0.68,1.0
0,1.0,0.73,1.0
0,1.0,0.69,1.0
0,1.0,0.56,1.0
0,0.0,0.38,0.0
0,0.0,0.43,0.0
0,0.0,0.31,0.0
0,0.0,0.13,0.0
0,0.0,0.32,0.0
0,0.0,0.19,0.0
0,0.0,0.09,0.0
0,0.0,0.1,0.0
0,0.0,0.07,0.0
0,0.0,0.03,0.0
0,0.0,0.01,0.0
0,0.0,0.04,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.01,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
