,DS,MV,proposed1(wcv)
0,0.91,0.93,0.98
0,0.94,0.94,0.99
0,0.94,0.91,0.97
0,0.94,0.91,0.98
0,0.92,0.88,0.96
0,0.9,0.85,0.93
0,0.94,0.84,0.98
0,0.92,0.9,0.97
0,0.94,0.8,0.97
0,0.93,0.78,0.97
0,0.92,0.76,0.98
0,0.9,0.73,0.93
0,0.91,0.7,1.0
0,0.93,0.68,0.97
0,0.93,0.71,0.97
0,0.93,0.63,0.99
0,0.92,0.63,1.0
0,0.94,0.56,0.89
0,0.9,0.53,0.94
0,0.91,0.57,0.98
0,0.92,0.51,0.98
0,0.06,0.54,0.74
0,0.9,0.51,0.93
0,0.91,0.42,0.97
0,0.9,0.46,0.09
0,0.1,0.4,0.06
0,0.94,0.36,0.96
0,0.9,0.44,0.03
0,0.08,0.33,0.01
0,0.94,0.4,0.07
0,0.08,0.33,0.0
0,0.1,0.26,0.99
0,0.08,0.22,0.03
0,0.06,0.33,0.01
0,0.06,0.21,0.03
0,0.1,0.19,0.02
0,0.09,0.17,0.05
0,0.08,0.14,0.01
0,0.06,0.16,0.01
0,0.06,0.14,0.02
0,0.09,0.09,0.05
0,0.08,0.06,0.0
0,0.06,0.09,0.1
0,0.06,0.11,0.02
0,0.08,0.06,0.04
0,0.07,0.08,0.03
0,0.08,0.06,0.03
0,0.09,0.03,0.01
0,0.05,0.04,0.01
0,0.08,0.01,0.0
0,0.1,0.01,0.01
