,DS,MV,proposed1(wcv)
0,0.89,0.97,0.96
0,0.92,0.93,0.94
0,0.87,0.94,0.98
0,0.91,0.86,0.97
0,0.88,0.87,0.99
0,0.85,0.88,0.98
0,0.91,0.87,0.95
0,0.93,0.85,0.98
0,0.85,0.89,0.97
0,0.93,0.83,0.95
0,0.91,0.79,0.95
0,0.85,0.82,0.95
0,0.93,0.74,1.0
0,0.9,0.75,0.98
0,0.89,0.66,0.96
0,0.88,0.76,0.96
0,0.86,0.68,0.95
0,0.89,0.6,0.98
0,0.91,0.64,0.95
0,0.93,0.57,0.99
0,0.89,0.51,0.95
0,0.93,0.59,0.99
0,0.9,0.48,0.97
0,0.95,0.48,0.98
0,0.86,0.47,0.97
0,0.87,0.47,0.99
0,0.85,0.48,0.7
0,0.21,0.36,0.94
0,0.09,0.33,0.95
0,0.08,0.34,0.03
0,0.1,0.29,0.0
0,0.18,0.27,0.04
0,0.09,0.18,0.03
0,0.17,0.25,0.03
0,0.06,0.21,0.01
0,0.1,0.23,0.05
0,0.05,0.16,0.01
0,0.1,0.19,0.02
0,0.07,0.14,0.01
0,0.06,0.13,0.01
0,0.11,0.13,0.03
0,0.05,0.14,0.03
0,0.09,0.18,0.05
0,0.15,0.1,0.05
0,0.08,0.06,0.03
0,0.09,0.05,0.04
0,0.16,0.1,0.07
0,0.14,0.04,0.05
0,0.08,0.03,0.03
0,0.08,0.05,0.03
0,0.16,0.03,0.03
