,DS,MV,proposed1(wcv)
0,0.96,0.99,0.97
0,0.99,0.98,1.0
0,0.99,0.97,0.99
0,0.99,0.97,0.98
0,0.99,0.93,0.98
0,0.97,0.97,0.97
0,0.99,0.96,0.98
0,1.0,0.97,1.0
0,0.99,0.91,0.99
0,0.96,0.92,0.98
0,1.0,0.91,0.99
0,0.99,0.83,0.98
0,0.99,0.79,1.0
0,0.99,0.83,0.99
0,0.98,0.77,0.98
0,0.98,0.8,0.97
0,0.99,0.7,1.0
0,1.0,0.63,0.99
0,0.98,0.74,0.98
0,1.0,0.6,0.99
0,0.98,0.61,1.0
0,0.81,0.7,0.99
0,0.99,0.58,0.64
0,0.98,0.6,0.63
0,0.0,0.44,0.4
0,1.0,0.49,0.59
0,0.02,0.41,0.41
0,0.0,0.35,0.54
0,0.07,0.37,0.49
0,0.01,0.3,0.02
0,0.0,0.33,0.0
0,0.03,0.33,0.01
0,0.03,0.23,0.03
0,0.02,0.24,0.02
0,0.01,0.17,0.01
0,0.01,0.16,0.01
0,0.0,0.18,0.0
0,0.01,0.17,0.03
0,0.0,0.13,0.01
0,0.02,0.1,0.01
0,0.01,0.12,0.01
0,0.02,0.11,0.01
0,0.01,0.09,0.02
0,0.01,0.07,0.01
0,0.03,0.08,0.02
0,0.01,0.06,0.01
0,0.01,0.04,0.0
0,0.01,0.02,0.01
0,0.0,0.0,0.0
0,0.01,0.0,0.0
0,0.02,0.02,0.01
