,L,R
0,0.16604708798017354,-263.8292167946652
1,0.18711276332094173,-245.7952121866019
2,0.18587360594795543,-263.64642379309504
3,0.1809169764560099,-265.9482304695677
4,0.17224287484510536,-350.86569491919414
5,0.17348203221809166,-638.5243780328233
6,0.16976456009913254,-831.9081020282226
7,0.1784386617100372,-544.0910751078692
8,0.16976456009913254,-1301.1608802506203
9,0.17472118959107807,-1162.0535825922805
10,0.17100371747211895,-1844.0662472653878
11,0.16976456009913254,-2055.6094349555487
12,0.17348203221809166,-1500.7706905230461
13,0.16976456009913254,-2245.4660409666362
14,0.16852540272614625,-1719.3000005074214
15,0.17596034696406448,-2111.5737290194024
16,0.16852540272614625,-4160.211590078686
17,0.16604708798017354,-3405.729243710721
18,0.17100371747211895,-2188.8556521157375
19,0.16728624535315983,-4150.410076500472
20,0.16728624535315983,-3958.181324442404
21,0.17100371747211895,-3526.597174159591
22,0.16852540272614625,-4756.737747215995
23,0.16976456009913254,-4954.115084062688
24,0.17224287484510536,-3558.249172696448
25,0.16604708798017354,-3793.075266857097
26,0.16852540272614625,-5658.110453940148
27,0.17100371747211895,-5876.075010445036
28,0.17348203221809166,-5075.911600438728
29,0.16976456009913254,-6576.769110743782
30,0.16728624535315983,-4668.598847767683
31,0.16976456009913254,-4551.445404331916
32,0.16852540272614625,-3822.6644384612555
33,0.16604708798017354,-3124.853801677178
34,0.16976456009913254,-3476.156952858443
35,0.16604708798017354,-4066.9384640957314
36,0.16356877323420072,-6911.344526883462
37,0.17224287484510536,-5675.6687995424145
38,0.16480793060718713,-4619.601379248077
39,0.17100371747211895,-5704.311106894862
40,0.16728624535315983,-5095.391156457474
41,0.16604708798017354,-6271.148329894217
42,0.16728624535315983,-6216.163952213147
43,0.16728624535315983,-6399.901346780383
44,0.16852540272614625,-6851.916645754989
45,0.16604708798017354,-4764.450205257242
46,0.16728624535315983,-4802.000144851546
47,0.16852540272614625,-5477.317612045005
48,0.16976456009913254,-5347.0276640862985
49,0.17100371747211895,-5195.007035660861
50,0.17100371747211895,-6104.266357539086
51,0.17100371747211895,-6211.043414306031
52,0.16852540272614625,-4515.895479498204
53,0.16728624535315983,-4714.24696511987
54,0.16480793060718713,-7616.217583176468
55,0.17100371747211895,-7048.15404473116
56,0.16480793060718713,-7772.901635104387
57,0.16604708798017354,-7109.104329663409
58,0.16232961586121442,-7791.53858748017
59,0.16852540272614625,-7927.428908777753
60,0.16480793060718713,-8036.139514890076
61,0.16728624535315983,-6943.102807299895
62,0.16728624535315983,-7460.308964089199
63,0.16728624535315983,-6137.9618868958605
64,0.1598513011152416,-7747.872939563694
65,0.16480793060718713,-7969.619419539475
66,0.16356877323420072,-8057.351668438909
67,0.16728624535315983,-8155.457108812311
68,0.16232961586121442,-7358.390004230314
69,0.16728624535315983,-7232.349686205827
70,0.16728624535315983,-6884.2865779602935
71,0.16852540272614625,-7217.744490635758
72,0.16480793060718713,-7946.4392201747
73,0.16604708798017354,-6457.4789706143965
74,0.16480793060718713,-7136.43467334827
75,0.161090458488228,-6193.044060077635
76,0.16480793060718713,-4605.795788282241
77,0.17100371747211895,-7242.56590909023
78,0.1586121437422553,-5893.617638917486
79,0.16356877323420072,-6935.807398085004
80,0.16604708798017354,-5895.6750947023365
81,0.16480793060718713,-5323.298685972603
82,0.16728624535315983,-6160.935034721624
83,0.16852540272614625,-6382.872306459309
84,0.16728624535315983,-6554.04384111171
85,0.16728624535315983,-7621.833361434241
86,0.16852540272614625,-5477.8727043474555
87,0.16852540272614625,-5599.687229057693
88,0.16356877323420072,-6010.520652127343
89,0.16356877323420072,-6891.96708721932
90,0.16480793060718713,-4359.622262350396
91,0.16480793060718713,-4907.3832819971385
92,0.16480793060718713,-6545.928362076322
93,0.16232961586121442,-5329.504893355246
94,0.16728624535315983,-6862.0199737632065
95,0.16232961586121442,-4367.063925199153
96,0.161090458488228,-5557.294404338188
97,0.17348203221809166,-6976.375070674901
98,0.16356877323420072,-4883.6970456694435
99,0.16356877323420072,-4646.713746365161
100,0.16356877323420072,-6263.226061269969
101,0.16356877323420072,-5558.092875209176
102,0.16604708798017354,-4421.559478038634
103,0.17100371747211895,-5548.364912681841
104,0.16976456009913254,-5439.068413594169
105,0.16232961586121442,-4614.500375289537
106,0.16976456009913254,-5745.726300130941
107,0.16356877323420072,-7106.092417660697
108,0.16356877323420072,-7422.760223973015
109,0.16356877323420072,-9028.110198074794
