,DS,MV,proposed1(wcv)
0,0.99,1.0,1.0
0,0.97,1.0,1.0
0,0.99,0.99,0.98
0,0.99,0.98,1.0
0,0.99,0.99,1.0
0,0.97,0.99,0.99
0,0.96,0.97,0.99
0,0.98,1.0,0.99
0,0.98,0.94,1.0
0,0.97,0.96,0.95
0,0.95,0.98,0.98
0,0.97,0.97,0.99
0,1.0,0.98,1.0
0,0.96,0.96,0.98
0,0.97,0.92,0.99
0,0.97,0.9,0.98
0,0.96,0.93,1.0
0,0.97,0.93,0.99
0,0.97,0.95,0.96
0,0.93,0.91,0.96
0,1.0,0.89,1.0
0,0.97,0.91,0.99
0,0.98,0.85,0.99
0,0.96,0.83,0.99
0,0.97,0.89,0.99
0,0.97,0.85,0.99
0,0.97,0.82,1.0
0,0.93,0.83,0.99
0,0.98,0.81,0.99
0,0.99,0.67,0.99
0,0.99,0.79,0.99
0,0.98,0.74,0.97
0,0.98,0.74,1.0
0,0.97,0.78,0.97
0,0.96,0.75,0.99
0,0.97,0.66,0.73
0,0.94,0.7,0.81
0,0.96,0.62,0.98
0,0.99,0.73,1.0
0,0.97,0.61,0.99
0,0.94,0.68,0.77
0,1.0,0.67,1.0
0,0.98,0.6,0.7
0,0.98,0.59,0.7
0,0.05,0.6,0.7
0,0.98,0.59,0.59
0,0.99,0.59,0.62
