,DS,MV,proposed1(wcv)
0,0.999,0.999,0.999
0,1.0,1.0,1.0
0,1.0,0.998,1.0
0,1.0,1.0,1.0
0,1.0,0.997,0.999
0,1.0,0.996,1.0
0,0.999,0.997,0.999
0,0.999,0.995,0.999
0,0.999,0.992,0.999
0,1.0,0.99,0.999
0,1.0,0.989,1.0
0,0.998,0.983,0.999
0,0.998,0.981,0.999
0,0.998,0.982,0.999
0,0.999,0.971,0.999
0,0.999,0.973,0.999
0,1.0,0.967,1.0
0,0.998,0.962,1.0
0,0.999,0.948,1.0
0,0.999,0.943,0.999
0,1.0,0.947,1.0
0,1.0,0.938,1.0
0,0.999,0.925,0.999
0,1.0,0.913,1.0
0,0.999,0.902,1.0
0,0.998,0.888,0.999
0,1.0,0.885,1.0
0,1.0,0.873,1.0
0,1.0,0.883,1.0
0,1.0,0.854,1.0
0,1.0,0.853,1.0
0,0.998,0.821,0.999
0,1.0,0.785,1.0
0,1.0,0.772,1.0
0,1.0,0.742,1.0
0,0.998,0.754,1.0
0,0.999,0.742,1.0
0,0.999,0.739,0.999
0,1.0,0.721,1.0
0,0.999,0.692,1.0
0,1.0,0.677,0.999
0,0.999,0.649,1.0
0,1.0,0.633,1.0
0,0.998,0.63,0.998
0,1.0,0.603,1.0
0,0.999,0.579,1.0
0,0.998,0.533,0.999
0,1.0,0.517,1.0
0,0.999,0.537,1.0
0,1.0,0.484,1.0
0,0.0,0.448,0.0
