,DS,MV,proposed1(wcv)
0,0.7,0.871,0.871
0,0.7,0.861,0.873
0,0.7,0.858,0.893
0,0.7,0.84,0.882
0,0.7,0.83,0.881
0,0.7,0.816,0.882
0,0.7,0.811,0.874
0,0.7,0.785,0.848
0,0.7,0.781,0.862
0,0.7,0.761,0.86
0,0.7,0.78,0.88
0,0.7,0.773,0.883
0,0.7,0.761,0.892
0,0.7,0.74,0.875
0,0.7,0.747,0.947
0,0.7,0.727,0.894
0,0.7,0.684,0.861
0,0.7,0.718,0.873
0,0.7,0.662,0.871
0,0.7,0.671,0.887
0,0.7,0.675,0.857
0,0.7,0.638,0.892
0,0.7,0.644,0.875
0,0.7,0.656,0.877
0,0.7,0.592,0.863
0,0.7,0.658,0.891
0,0.7,0.61,0.896
0,0.7,0.585,0.849
0,0.7,0.605,0.881
0,0.7,0.605,0.893
0,0.7,0.581,0.879
0,0.7,0.564,0.87
0,0.7,0.567,0.874
0,0.7,0.55,0.894
0,0.7,0.539,0.91
0,0.7,0.5,0.859
0,0.7,0.512,0.906
0,0.7,0.529,0.853
0,0.7,0.51,0.885
0,0.7,0.473,0.893
0,0.7,0.485,0.896
0,0.7,0.469,0.863
0,0.7,0.458,0.883
0,0.7,0.462,0.858
0,0.7,0.459,0.87
0,0.7,0.443,0.873
0,0.7,0.441,0.895
0,0.7,0.419,0.859
0,0.7,0.405,0.871
0,0.7,0.41,0.857
0,0.3,0.393,0.865
