,DS,MV,proposed1(wcv)
0,0.838,0.933,0.958
0,0.836,0.919,0.96
0,0.774,0.92,0.953
0,0.816,0.923,0.955
0,0.822,0.887,0.969
0,0.801,0.927,0.959
0,0.836,0.909,0.963
0,0.78,0.915,0.96
0,0.831,0.879,0.938
0,0.801,0.911,0.96
0,0.789,0.865,0.952
0,0.809,0.839,0.957
0,0.839,0.845,0.966
0,0.828,0.828,0.958
0,0.815,0.792,0.949
0,0.85,0.841,0.959
0,0.834,0.8,0.948
0,0.835,0.795,0.958
0,0.821,0.798,0.955
0,0.861,0.82,0.952
0,0.881,0.804,0.966
0,0.809,0.798,0.969
0,0.823,0.782,0.965
0,0.818,0.72,0.963
0,0.774,0.716,0.943
0,0.811,0.762,0.96
0,0.848,0.683,0.962
0,0.791,0.714,0.953
0,0.818,0.719,0.962
0,0.835,0.681,0.948
0,0.823,0.675,0.966
0,0.833,0.711,0.962
0,0.793,0.674,0.958
0,0.791,0.608,0.961
0,0.839,0.616,0.951
0,0.776,0.572,0.957
0,0.817,0.582,0.967
0,0.804,0.547,0.967
0,0.827,0.648,0.964
0,0.818,0.61,0.96
0,0.858,0.488,0.96
0,0.815,0.608,0.957
0,0.835,0.511,0.952
0,0.816,0.515,0.965
0,0.825,0.484,0.968
0,0.823,0.504,0.971
0,0.829,0.494,0.958
0,0.866,0.475,0.952
0,0.825,0.465,0.956
0,0.826,0.475,0.963
0,0.872,0.471,0.954
0,0.818,0.47,0.937
0,0.18,0.441,0.036
0,0.825,0.487,0.961
0,0.2,0.394,0.034
0,0.196,0.413,0.044
0,0.16,0.368,0.044
0,0.19,0.351,0.047
0,0.158,0.355,0.031
0,0.204,0.345,0.036
0,0.161,0.343,0.04
0,0.183,0.332,0.048
0,0.201,0.374,0.043
0,0.167,0.379,0.027
0,0.105,0.312,0.026
0,0.138,0.267,0.03
0,0.178,0.272,0.04
0,0.153,0.259,0.028
0,0.2,0.203,0.036
0,0.204,0.259,0.042
0,0.143,0.22,0.033
0,0.183,0.242,0.034
0,0.178,0.243,0.053
0,0.219,0.209,0.043
0,0.129,0.213,0.039
0,0.184,0.152,0.029
0,0.168,0.165,0.044
0,0.176,0.195,0.048
0,0.246,0.17,0.042
0,0.189,0.217,0.037
0,0.153,0.15,0.035
0,0.189,0.128,0.037
0,0.148,0.113,0.034
0,0.172,0.157,0.046
0,0.174,0.121,0.031
0,0.202,0.129,0.027
0,0.171,0.111,0.031
0,0.192,0.117,0.052
0,0.154,0.126,0.041
0,0.189,0.084,0.035
0,0.172,0.093,0.039
0,0.194,0.087,0.045
0,0.193,0.082,0.03
0,0.208,0.097,0.039
0,0.205,0.088,0.056
0,0.181,0.069,0.032
0,0.159,0.056,0.043
0,0.153,0.044,0.038
0,0.137,0.062,0.048
0,0.168,0.059,0.046
