,DS,MV,proposed1(wcv)
0,0.99,1.0,1.0
0,1.0,1.0,1.0
0,0.99,0.99,1.0
0,0.99,0.97,1.0
0,1.0,0.98,1.0
0,1.0,0.98,1.0
0,1.0,0.95,1.0
0,1.0,0.96,1.0
0,1.0,0.91,1.0
0,1.0,0.92,1.0
0,1.0,0.9,0.99
0,1.0,0.97,1.0
0,0.99,0.91,1.0
0,0.99,0.76,0.99
0,0.99,0.8,0.99
0,1.0,0.76,1.0
0,1.0,0.81,1.0
0,1.0,0.65,1.0
0,1.0,0.73,1.0
0,1.0,0.71,1.0
0,1.0,0.74,1.0
0,1.0,0.55,1.0
0,1.0,0.69,1.0
0,1.0,0.53,1.0
0,0.0,0.47,0.0
0,0.0,0.44,0.0
0,0.03,0.41,1.0
0,0.01,0.42,0.01
0,0.01,0.32,0.0
0,0.99,0.35,1.0
0,0.01,0.33,0.0
0,0.0,0.35,0.0
0,0.01,0.28,0.01
0,0.02,0.16,0.0
0,0.0,0.19,0.0
0,0.0,0.17,0.0
0,0.01,0.07,0.0
0,0.0,0.07,0.0
0,0.0,0.12,0.0
0,0.0,0.03,0.0
0,0.01,0.06,0.0
0,0.0,0.04,0.0
0,0.0,0.06,0.0
0,0.02,0.08,0.02
0,0.0,0.03,0.0
0,0.0,0.01,0.01
0,0.0,0.01,0.0
0,0.01,0.01,0.0
0,0.01,0.01,0.01
0,0.0,0.0,0.0
0,0.02,0.0,0.01
