,DS,MV,proposed1(wcv)
0,0.99,0.99,0.99
0,1.0,1.0,1.0
0,1.0,0.99,0.99
0,1.0,0.99,0.99
0,1.0,0.99,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,0.99,0.93,0.98
0,1.0,0.97,1.0
0,0.99,0.95,0.99
0,1.0,0.86,0.99
0,1.0,0.89,0.99
0,1.0,0.91,1.0
0,1.0,0.87,1.0
0,0.99,0.89,0.99
0,0.99,0.79,0.99
0,1.0,0.77,1.0
0,1.0,0.76,0.99
0,0.99,0.72,1.0
0,0.99,0.63,0.99
0,1.0,0.66,1.0
0,1.0,0.56,1.0
0,0.99,0.57,0.99
0,0.99,0.65,1.0
0,1.0,0.54,1.0
0,0.99,0.51,0.99
0,0.01,0.43,0.01
0,0.0,0.41,0.0
0,0.0,0.35,0.0
0,0.0,0.41,0.0
0,0.01,0.23,0.01
0,0.0,0.29,0.0
0,0.01,0.27,0.01
0,0.0,0.19,0.0
0,0.0,0.16,0.0
0,0.01,0.13,0.0
0,0.01,0.1,0.01
0,0.01,0.14,0.01
0,0.0,0.11,0.0
0,0.0,0.09,0.0
0,0.0,0.04,0.0
0,0.0,0.09,0.0
0,0.0,0.05,0.0
0,0.0,0.05,0.0
0,0.0,0.02,0.0
0,0.0,0.0,0.0
0,0.01,0.01,0.02
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.03,0.0
0,0.0,0.0,0.0
