,DS,MV,proposed1(wcv)
0,0.98,1.0,0.99
0,0.98,0.99,1.0
0,0.96,0.98,0.99
0,0.95,0.97,1.0
0,0.94,0.94,1.0
0,0.98,0.92,0.99
0,0.98,0.91,0.99
0,0.95,0.94,1.0
0,0.94,0.87,1.0
0,0.97,0.89,1.0
0,0.98,0.89,0.99
0,0.96,0.79,1.0
0,0.98,0.79,1.0
0,0.98,0.78,1.0
0,0.99,0.82,1.0
0,1.0,0.75,0.99
0,1.0,0.74,1.0
0,1.0,0.72,0.99
0,1.0,0.73,1.0
0,0.96,0.76,1.0
0,0.97,0.59,0.98
0,0.96,0.64,0.97
0,0.98,0.57,0.98
0,0.98,0.53,1.0
0,0.02,0.5,1.0
0,0.1,0.4,0.02
0,0.99,0.49,1.0
0,1.0,0.46,0.99
0,0.01,0.31,0.0
0,0.03,0.31,0.01
0,0.1,0.43,0.0
0,0.03,0.33,0.01
0,0.0,0.32,0.0
0,0.05,0.26,0.03
0,0.03,0.24,0.0
0,0.0,0.19,0.0
0,0.05,0.25,0.01
0,0.1,0.22,0.03
0,0.0,0.17,0.0
0,0.05,0.12,0.0
0,0.0,0.13,0.0
0,0.01,0.1,0.01
0,0.02,0.04,0.0
0,0.03,0.05,0.01
0,0.02,0.02,0.0
0,0.02,0.02,0.0
0,0.04,0.02,0.01
0,0.06,0.01,0.0
0,0.01,0.01,0.0
0,0.02,0.0,0.0
0,0.03,0.0,0.0
