,DS,MV,proposed1(wcv)
0,0.8,0.92,0.92
0,0.8,0.92,0.92
0,0.8,0.86,0.86
0,0.8,0.76,0.76
0,0.8,0.83,0.83
0,0.8,0.84,0.84
0,0.8,0.8,0.8
0,0.8,0.72,0.8
0,0.8,0.81,0.81
0,0.8,0.79,0.79
0,0.8,0.72,0.72
0,0.8,0.82,0.82
0,0.8,0.77,0.77
0,0.8,0.63,0.63
0,0.8,0.77,0.77
0,0.8,0.7,0.7
0,0.8,0.65,0.65
0,0.8,0.59,0.59
0,0.8,0.66,0.8
0,0.2,0.56,0.56
0,0.8,0.59,0.59
0,0.8,0.59,0.59
0,0.2,0.46,0.2
0,0.8,0.6,0.6
0,0.2,0.44,0.44
0,0.2,0.44,0.44
0,0.8,0.52,0.77
0,0.8,0.53,0.53
0,0.2,0.4,0.2
0,0.2,0.38,0.38
0,0.8,0.42,0.62
0,0.2,0.34,0.34
0,0.2,0.3,0.3
0,0.2,0.29,0.29
0,0.2,0.42,0.42
0,0.2,0.3,0.3
0,0.2,0.29,0.29
0,0.2,0.35,0.35
0,0.2,0.25,0.25
0,0.2,0.19,0.19
0,0.2,0.21,0.21
0,0.2,0.22,0.22
0,0.2,0.26,0.2
0,0.2,0.18,0.18
0,0.2,0.29,0.29
0,0.2,0.15,0.15
0,0.2,0.15,0.15
0,0.2,0.11,0.11
0,0.2,0.05,0.05
0,0.2,0.14,0.14
0,0.2,0.06,0.06
