,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,1.0,1.0,1.0
0,1.0,0.97,0.99
0,1.0,0.98,1.0
0,1.0,0.97,1.0
0,0.99,0.96,1.0
0,1.0,0.97,0.98
0,1.0,0.96,1.0
0,1.0,0.94,1.0
0,1.0,0.91,1.0
0,1.0,0.85,0.99
0,1.0,0.92,1.0
0,1.0,0.82,0.99
0,0.99,0.78,0.99
0,0.99,0.81,1.0
0,1.0,0.73,1.0
0,0.99,0.69,1.0
0,1.0,0.64,1.0
0,0.99,0.61,0.99
0,1.0,0.57,1.0
0,1.0,0.65,1.0
0,1.0,0.51,0.0
0,0.99,0.48,0.99
0,1.0,0.49,0.99
0,1.0,0.44,1.0
0,0.0,0.43,0.0
0,0.02,0.5,0.0
0,0.0,0.41,0.0
0,0.01,0.32,0.0
0,0.0,0.26,0.0
0,0.01,0.28,0.0
0,0.0,0.26,0.0
0,0.0,0.22,0.0
0,0.0,0.16,0.0
0,0.03,0.19,0.0
0,0.0,0.16,0.0
0,0.0,0.14,0.0
0,0.0,0.11,0.0
0,0.0,0.06,0.0
0,0.01,0.08,0.01
0,0.0,0.03,0.0
0,0.0,0.04,0.0
0,0.0,0.06,0.0
0,0.0,0.02,0.01
0,0.01,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.02,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
