,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.98,1.0
0,1.0,0.99,1.0
0,0.99,0.98,0.99
0,0.99,0.98,0.99
0,1.0,0.97,0.99
0,1.0,0.98,1.0
0,1.0,0.95,1.0
0,1.0,0.9,1.0
0,1.0,0.97,0.99
0,0.99,0.85,1.0
0,0.99,0.91,0.99
0,1.0,0.88,1.0
0,0.99,0.77,1.0
0,1.0,0.86,1.0
0,0.99,0.85,0.99
0,1.0,0.69,1.0
0,1.0,0.66,1.0
0,0.99,0.6,0.99
0,1.0,0.64,1.0
0,1.0,0.65,1.0
0,0.99,0.58,1.0
0,0.0,0.58,0.0
0,1.0,0.46,1.0
0,0.0,0.5,0.0
0,0.0,0.4,0.0
0,0.0,0.46,0.0
0,0.01,0.31,0.01
0,0.02,0.25,0.01
0,0.0,0.2,0.0
0,0.01,0.27,0.0
0,0.0,0.21,0.0
0,0.0,0.25,0.0
0,0.0,0.24,0.0
0,0.0,0.12,0.0
0,0.01,0.19,0.01
0,0.0,0.12,0.0
0,0.0,0.08,0.0
0,0.01,0.07,0.01
0,0.0,0.04,0.0
0,0.0,0.04,0.0
0,0.02,0.02,0.02
0,0.0,0.02,0.0
0,0.0,0.02,0.0
0,0.0,0.0,0.01
0,0.0,0.03,0.0
0,0.0,0.02,0.0
0,0.0,0.01,0.0
0,0.0,0.01,0.01
0,0.01,0.01,0.01
