,DS,MV,proposed1(wcv)
0,0.8,0.91,0.91
0,0.8,0.93,0.93
0,0.8,0.84,0.84
0,0.8,0.85,0.85
0,0.8,0.89,0.89
0,0.8,0.87,0.87
0,0.8,0.77,0.77
0,0.8,0.8,0.8
0,0.8,0.69,0.8
0,0.8,0.73,0.8
0,0.8,0.75,0.8
0,0.8,0.7,0.8
0,0.8,0.63,0.78
0,0.8,0.65,0.8
0,0.8,0.64,0.8
0,0.8,0.75,0.75
0,0.8,0.68,0.68
0,0.2,0.52,0.52
0,0.8,0.66,0.66
0,0.8,0.58,0.8
0,0.8,0.58,0.58
0,0.8,0.61,0.8
0,0.8,0.59,0.59
0,0.8,0.5,0.5
0,0.8,0.54,0.54
0,0.8,0.6,0.6
0,0.2,0.53,0.21
0,0.8,0.51,0.51
0,0.2,0.4,0.4
0,0.2,0.38,0.2
0,0.2,0.41,0.41
0,0.2,0.45,0.2
0,0.2,0.36,0.36
0,0.2,0.37,0.37
0,0.2,0.41,0.2
0,0.2,0.25,0.25
0,0.2,0.38,0.2
0,0.2,0.34,0.34
0,0.2,0.32,0.32
0,0.2,0.25,0.25
0,0.2,0.25,0.25
0,0.2,0.22,0.2
0,0.2,0.27,0.27
0,0.2,0.19,0.19
0,0.2,0.19,0.19
0,0.2,0.19,0.19
0,0.2,0.12,0.12
0,0.2,0.11,0.11
0,0.2,0.12,0.12
0,0.2,0.14,0.14
0,0.2,0.11,0.2
