,DS,MV,proposed1(wcv)
0,0.5,0.93,0.93
0,0.5,0.86,0.86
0,0.5,0.89,0.89
0,0.5,0.88,0.88
0,0.5,0.79,0.79
0,0.5,0.83,0.83
0,0.5,0.88,0.88
0,0.5,0.88,0.88
0,0.5,0.75,0.75
0,0.5,0.72,0.72
0,0.5,0.68,0.68
0,0.5,0.79,0.79
0,0.5,0.73,0.73
0,0.5,0.72,0.72
0,0.5,0.74,0.74
0,0.5,0.71,0.71
0,0.5,0.71,0.71
0,0.5,0.56,0.56
0,0.5,0.7,0.7
0,0.5,0.6,0.6
0,0.5,0.63,0.63
0,0.5,0.52,0.52
0,0.5,0.55,0.55
0,0.5,0.54,0.54
0,0.5,0.54,0.54
0,0.5,0.44,0.44
0,0.5,0.52,0.52
0,0.5,0.39,0.39
0,0.5,0.43,0.43
0,0.5,0.41,0.41
0,0.5,0.35,0.35
0,0.5,0.34,0.34
0,0.5,0.37,0.37
0,0.5,0.42,0.42
0,0.5,0.28,0.28
0,0.5,0.34,0.34
0,0.5,0.34,0.34
0,0.5,0.32,0.32
0,0.5,0.32,0.32
0,0.5,0.34,0.34
0,0.5,0.25,0.25
0,0.5,0.23,0.23
0,0.5,0.17,0.17
0,0.5,0.14,0.14
0,0.5,0.13,0.13
0,0.5,0.23,0.23
0,0.5,0.12,0.12
0,0.5,0.14,0.14
0,0.5,0.08,0.08
0,0.5,0.14,0.14
0,0.5,0.09,0.09
