,DS,MV,proposed1(wcv)
0,0.8,0.98,0.98
0,0.8,0.94,0.98
0,0.8,0.94,0.96
0,0.8,0.97,1.0
0,0.8,0.96,0.96
0,0.8,0.94,0.97
0,0.8,0.82,0.98
0,0.8,0.87,0.98
0,0.8,0.86,0.95
0,0.8,0.79,0.96
0,0.8,0.87,0.96
0,0.8,0.8,0.96
0,0.8,0.81,1.0
0,0.8,0.83,0.96
0,0.8,0.71,0.96
0,0.8,0.74,0.98
0,0.8,0.75,0.98
0,0.8,0.75,0.99
0,0.8,0.7,0.99
0,0.8,0.65,0.95
0,0.07,0.56,0.06
0,0.8,0.67,0.93
0,0.8,0.63,0.96
0,0.15,0.56,0.8
0,0.8,0.53,0.98
0,0.8,0.55,0.94
0,0.2,0.41,0.46
0,0.2,0.42,0.0
0,0.2,0.39,0.2
0,0.2,0.43,0.01
0,0.2,0.35,0.04
0,0.2,0.36,0.13
0,0.2,0.33,0.06
0,0.2,0.24,0.04
0,0.2,0.28,0.12
0,0.2,0.21,0.04
0,0.2,0.2,0.03
0,0.2,0.19,0.02
0,0.2,0.11,0.01
0,0.2,0.13,0.05
0,0.2,0.15,0.01
0,0.2,0.18,0.04
0,0.2,0.12,0.01
0,0.2,0.06,0.04
0,0.2,0.09,0.02
0,0.2,0.06,0.05
0,0.2,0.09,0.01
0,0.2,0.03,0.01
0,0.2,0.02,0.0
0,0.2,0.01,0.03
0,0.2,0.01,0.01
