,DS,MV,proposed1(wcv)
0,0.99,0.98,0.98
0,0.98,1.0,1.0
0,1.0,0.99,1.0
0,1.0,0.99,1.0
0,0.99,0.98,1.0
0,1.0,0.96,1.0
0,0.99,0.93,1.0
0,0.99,0.92,1.0
0,0.99,0.96,1.0
0,0.99,0.99,1.0
0,1.0,0.95,1.0
0,1.0,0.88,0.99
0,1.0,0.84,1.0
0,0.99,0.89,0.99
0,1.0,0.82,1.0
0,1.0,0.74,1.0
0,0.99,0.8,0.98
0,1.0,0.72,1.0
0,1.0,0.65,1.0
0,0.99,0.63,1.0
0,0.99,0.57,0.99
0,1.0,0.64,1.0
0,1.0,0.54,1.0
0,1.0,0.54,1.0
0,0.01,0.45,0.0
0,1.0,0.44,1.0
0,0.02,0.42,0.99
0,1.0,0.45,1.0
0,0.0,0.29,0.02
0,0.02,0.35,0.01
0,0.01,0.32,0.01
0,0.0,0.24,0.0
0,0.0,0.21,0.0
0,0.0,0.21,0.0
0,0.0,0.15,0.0
0,0.0,0.13,0.0
0,0.01,0.14,0.0
0,0.0,0.13,0.0
0,0.01,0.12,0.01
0,0.04,0.08,0.02
0,0.0,0.05,0.0
0,0.0,0.05,0.0
0,0.0,0.08,0.0
0,0.0,0.08,0.0
0,0.0,0.01,0.0
0,0.01,0.01,0.01
0,0.0,0.0,0.0
0,0.01,0.01,0.01
0,0.0,0.0,0.0
0,0.01,0.01,0.01
0,0.0,0.0,0.0
