,DS,MV,proposed1(wcv)
0,0.7,0.91,0.91
0,0.7,0.84,0.84
0,0.7,0.9,0.9
0,0.7,0.81,0.81
0,0.7,0.81,0.7
0,0.7,0.81,0.81
0,0.7,0.78,0.78
0,0.7,0.83,0.83
0,0.7,0.77,0.77
0,0.7,0.78,0.78
0,0.7,0.67,0.67
0,0.7,0.74,0.74
0,0.7,0.71,0.71
0,0.7,0.73,0.73
0,0.7,0.66,0.66
0,0.7,0.67,0.67
0,0.7,0.63,0.63
0,0.7,0.67,0.73
0,0.7,0.67,0.67
0,0.7,0.7,0.7
0,0.7,0.59,0.59
0,0.7,0.58,0.58
0,0.7,0.55,0.7
0,0.7,0.62,0.62
0,0.3,0.5,0.5
0,0.3,0.52,0.3
0,0.7,0.51,0.51
0,0.3,0.45,0.45
0,0.7,0.43,0.43
0,0.3,0.33,0.33
0,0.3,0.41,0.41
0,0.3,0.41,0.41
0,0.3,0.37,0.37
0,0.7,0.44,0.44
0,0.3,0.29,0.29
0,0.3,0.37,0.37
0,0.3,0.38,0.38
0,0.3,0.28,0.3
0,0.3,0.34,0.34
0,0.3,0.22,0.22
0,0.3,0.22,0.22
0,0.3,0.29,0.29
0,0.3,0.2,0.2
0,0.3,0.14,0.14
0,0.3,0.19,0.19
0,0.3,0.14,0.14
0,0.3,0.16,0.16
0,0.3,0.07,0.07
0,0.3,0.08,0.08
0,0.3,0.11,0.11
0,0.3,0.07,0.07
