,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,0.99,1.0,0.99
0,0.99,1.0,1.0
0,1.0,0.97,1.0
0,1.0,0.97,1.0
0,1.0,0.99,1.0
0,1.0,0.97,1.0
0,1.0,0.96,1.0
0,1.0,0.93,1.0
0,1.0,0.94,1.0
0,1.0,0.93,1.0
0,0.99,0.89,0.99
0,0.99,0.85,0.99
0,1.0,0.87,1.0
0,1.0,0.83,0.99
0,1.0,0.81,1.0
0,0.98,0.79,1.0
0,1.0,0.75,1.0
0,0.99,0.73,0.99
0,0.98,0.71,0.98
0,1.0,0.65,1.0
0,1.0,0.59,1.0
0,0.99,0.56,1.0
0,0.95,0.57,0.96
0,0.99,0.49,1.0
0,1.0,0.51,1.0
0,0.0,0.41,0.0
0,0.01,0.36,0.0
0,0.02,0.34,0.02
0,0.01,0.35,0.01
0,0.0,0.3,0.01
0,0.02,0.24,0.01
0,0.01,0.27,0.0
0,0.0,0.23,0.0
0,0.0,0.2,0.0
0,0.0,0.23,0.0
0,0.0,0.21,0.0
0,0.0,0.1,0.0
0,0.01,0.09,0.0
0,0.0,0.06,0.0
0,0.0,0.07,0.0
0,0.0,0.03,0.0
0,0.0,0.08,0.0
0,0.0,0.05,0.0
0,0.01,0.01,0.01
0,0.01,0.01,0.0
0,0.0,0.01,0.0
0,0.0,0.04,0.01
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
