,DS,MV,proposed1(wcv)
0,0.5,0.86,0.86
0,0.5,0.9,0.9
0,0.5,0.9,0.9
0,0.5,0.92,0.92
0,0.5,0.85,0.85
0,0.5,0.86,0.86
0,0.5,0.83,0.83
0,0.5,0.85,0.85
0,0.5,0.83,0.83
0,0.5,0.83,0.83
0,0.5,0.73,0.73
0,0.5,0.74,0.74
0,0.5,0.68,0.68
0,0.5,0.72,0.72
0,0.5,0.74,0.74
0,0.5,0.69,0.69
0,0.5,0.65,0.65
0,0.5,0.62,0.62
0,0.5,0.61,0.61
0,0.5,0.6,0.6
0,0.5,0.63,0.63
0,0.5,0.61,0.61
0,0.5,0.54,0.54
0,0.5,0.53,0.53
0,0.5,0.5,0.5
0,0.5,0.52,0.52
0,0.5,0.53,0.53
0,0.5,0.52,0.52
0,0.5,0.43,0.43
0,0.5,0.42,0.42
0,0.5,0.47,0.47
0,0.5,0.41,0.41
0,0.5,0.42,0.42
0,0.5,0.32,0.32
0,0.5,0.39,0.39
0,0.5,0.37,0.37
0,0.5,0.46,0.5
0,0.5,0.35,0.35
0,0.5,0.35,0.35
0,0.5,0.2,0.2
0,0.5,0.26,0.26
0,0.5,0.24,0.24
0,0.5,0.14,0.14
0,0.5,0.22,0.22
0,0.5,0.17,0.17
0,0.5,0.13,0.13
0,0.5,0.13,0.13
0,0.5,0.15,0.15
0,0.5,0.09,0.09
0,0.5,0.06,0.06
0,0.5,0.09,0.09
