,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,1.0,1.0,1.0
0,1.0,0.99,1.0
0,0.99,0.97,0.99
0,1.0,0.96,1.0
0,0.99,0.93,1.0
0,1.0,0.95,1.0
0,0.99,0.94,1.0
0,1.0,0.9,1.0
0,0.98,0.87,0.99
0,0.99,0.88,0.99
0,1.0,0.89,1.0
0,1.0,0.76,1.0
0,0.99,0.78,0.99
0,1.0,0.79,0.99
0,1.0,0.67,1.0
0,1.0,0.77,1.0
0,0.99,0.7,0.98
0,1.0,0.64,0.99
0,1.0,0.62,1.0
0,1.0,0.58,1.0
0,1.0,0.59,1.0
0,1.0,0.52,1.0
0,0.0,0.39,0.0
0,0.0,0.45,0.0
0,0.98,0.42,0.98
0,0.0,0.33,0.0
0,0.0,0.28,0.0
0,0.0,0.25,0.0
0,0.0,0.27,0.0
0,0.0,0.28,0.0
0,0.0,0.2,0.0
0,0.01,0.19,0.0
0,0.01,0.12,0.0
0,0.0,0.12,0.0
0,0.0,0.06,0.0
0,0.0,0.12,0.0
0,0.01,0.06,0.0
0,0.0,0.04,0.02
0,0.01,0.09,0.0
0,0.0,0.06,0.0
0,0.0,0.0,0.0
0,0.0,0.03,0.0
0,0.0,0.03,0.0
0,0.01,0.02,0.0
0,0.02,0.04,0.01
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.01,0.0,0.0
