,DS,MV,proposed1(wcv)
0,0.6,0.87,0.87
0,0.6,0.85,0.85
0,0.6,0.84,0.84
0,0.6,0.83,0.83
0,0.6,0.9,0.9
0,0.6,0.87,0.87
0,0.6,0.82,0.82
0,0.6,0.84,0.84
0,0.6,0.74,0.74
0,0.6,0.77,0.77
0,0.4,0.73,0.73
0,0.6,0.66,0.66
0,0.6,0.78,0.78
0,0.6,0.71,0.71
0,0.6,0.68,0.68
0,0.6,0.62,0.62
0,0.4,0.63,0.63
0,0.6,0.63,0.63
0,0.4,0.62,0.62
0,0.6,0.56,0.56
0,0.6,0.53,0.53
0,0.6,0.65,0.65
0,0.6,0.52,0.52
0,0.4,0.46,0.46
0,0.6,0.53,0.53
0,0.4,0.46,0.46
0,0.4,0.45,0.45
0,0.4,0.43,0.43
0,0.6,0.47,0.47
0,0.4,0.49,0.49
0,0.4,0.42,0.42
0,0.4,0.35,0.35
0,0.4,0.41,0.41
0,0.4,0.34,0.34
0,0.6,0.41,0.41
0,0.6,0.3,0.3
0,0.4,0.36,0.36
0,0.4,0.29,0.29
0,0.6,0.37,0.37
0,0.4,0.21,0.21
0,0.4,0.32,0.32
0,0.4,0.22,0.22
0,0.4,0.22,0.22
0,0.4,0.17,0.17
0,0.4,0.18,0.18
0,0.4,0.19,0.19
0,0.4,0.14,0.14
0,0.4,0.12,0.12
0,0.4,0.15,0.15
0,0.4,0.18,0.18
0,0.4,0.05,0.05
