,DS,MV,proposed1(wcv)
0,1.0,1.0,1.0
0,0.98,1.0,1.0
0,0.99,0.98,1.0
0,1.0,0.96,1.0
0,0.97,0.95,0.97
0,0.99,0.98,1.0
0,0.99,0.93,1.0
0,0.99,0.94,0.99
0,0.99,0.92,1.0
0,0.96,0.87,0.95
0,1.0,0.81,0.99
0,0.99,0.88,0.99
0,0.96,0.86,0.99
0,0.99,0.85,1.0
0,0.98,0.84,0.99
0,0.95,0.74,0.98
0,0.96,0.72,1.0
0,0.98,0.66,0.98
0,0.99,0.65,0.98
0,0.99,0.64,0.97
0,0.96,0.66,1.0
0,1.0,0.58,1.0
0,0.98,0.48,0.99
0,0.99,0.53,1.0
0,0.01,0.5,0.01
0,0.99,0.5,0.02
0,0.23,0.55,0.01
0,0.0,0.47,0.0
0,0.01,0.41,0.0
0,0.03,0.26,0.01
0,0.01,0.28,0.01
0,0.03,0.29,0.02
0,0.02,0.27,0.0
0,0.0,0.19,0.0
0,0.01,0.29,0.01
0,0.03,0.18,0.03
0,0.02,0.25,0.01
0,0.01,0.17,0.02
0,0.02,0.14,0.0
0,0.03,0.18,0.01
0,0.0,0.12,0.0
0,0.02,0.09,0.01
0,0.02,0.07,0.01
0,0.02,0.04,0.01
0,0.0,0.03,0.01
0,0.03,0.06,0.01
0,0.06,0.01,0.01
0,0.02,0.02,0.0
0,0.0,0.03,0.01
0,0.01,0.03,0.0
0,0.0,0.0,0.0
