,L,R
0,0.30000000000000004,0.5124755802492956
1,0.28200000000000003,-4.674362215671286
2,0.06499999999999995,-74.14836449768829
3,0.06499999999999995,-74.15779538809196
4,0.062000000000000055,-77.08600272477449
5,0.06499999999999995,-74.10092359398638
6,0.06499999999999995,-74.10733280429797
7,0.06499999999999995,-74.13214041793888
8,0.06299999999999994,-77.60215059510111
9,0.06499999999999995,-74.16098713471163
10,0.06499999999999995,-74.59261783622074
11,0.06499999999999995,-74.15893562739456
12,0.06499999999999995,-74.26292095163676
13,0.06499999999999995,-74.41339689892544
14,0.06499999999999995,-74.1587928598065
15,0.06499999999999995,-74.16035287589375
16,0.062000000000000055,-77.24329490845163
17,0.062000000000000055,-76.9957748832616
18,0.062000000000000055,-77.09721353298413
19,0.06499999999999995,-74.16917575691126
20,0.062000000000000055,-77.09873699469159
21,0.06499999999999995,-74.14051289816484
22,0.06499999999999995,-74.57559441640376
23,0.062000000000000055,-77.23700981269894
24,0.062000000000000055,-77.74412485154222
25,0.06499999999999995,-74.11066710364076
26,0.06499999999999995,-74.14147718884169
27,0.06499999999999995,-74.26617589244992
28,0.06499999999999995,-74.49224893052482
29,0.06499999999999995,-74.17193937673268
30,0.06499999999999995,-74.14153205379161
31,0.06499999999999995,-74.61718444816
32,0.062000000000000055,-78.53460637812022
33,0.06499999999999995,-74.12957105688918
34,0.062000000000000055,-77.49429372132943
35,0.062000000000000055,-77.97797753639928
36,0.062000000000000055,-77.1176012920373
37,0.062000000000000055,-77.8436265075903
38,0.06499999999999995,-74.13824154643314
39,0.06499999999999995,-74.10245052757084
40,0.062000000000000055,-77.08923325615996
41,0.06499999999999995,-74.23271393707832
42,0.06499999999999995,-74.18139454554083
43,0.062000000000000055,-77.56605415299472
44,0.062000000000000055,-76.99096659651151
45,0.062000000000000055,-78.52321384355243
46,0.062000000000000055,-77.27407613149406
47,0.062000000000000055,-78.5651645406569
48,0.06499999999999995,-74.19747273177312
49,0.06499999999999995,-74.41205573762812
50,0.062000000000000055,-77.07841693599504
51,0.062000000000000055,-77.0760042892772
52,0.062000000000000055,-76.98442606192013
53,0.06499999999999995,-74.21793890129544
54,0.06499999999999995,-74.1221665633821
55,0.062000000000000055,-77.46915975039609
56,0.06499999999999995,-74.11336134656494
57,0.06499999999999995,-74.01594980902122
58,0.06499999999999995,-74.13059831996925
59,0.06499999999999995,-74.0253812343616
60,0.062000000000000055,-77.02893563842234
61,0.06499999999999995,-74.09887254686178
62,0.06499999999999995,-74.1985592648504
63,0.062000000000000055,-77.13579852255414
64,0.06499999999999995,-74.08634594354734
65,0.062000000000000055,-77.53159521548301
66,0.06499999999999995,-74.32156133540867
67,0.062000000000000055,-77.05411169549052
68,0.06499999999999995,-74.1828325565622
69,0.062000000000000055,-77.5638936744854
70,0.062000000000000055,-77.46264946318502
71,0.06499999999999995,-74.40755348487728
72,0.06499999999999995,-74.06828489628151
73,0.06499999999999995,-74.1300596148416
74,0.06499999999999995,-74.12105625605403
75,0.06499999999999995,-74.14607579252349
76,0.06499999999999995,-74.28700699298365
77,0.062000000000000055,-77.05495718732861
78,0.06499999999999995,-74.34998898006245
79,0.062000000000000055,-77.53355176673959
80,0.06499999999999995,-74.11910073352038
81,0.06499999999999995,-74.4737009104786
82,0.06499999999999995,-74.11508167433011
83,0.06299999999999994,-77.59915548026393
84,0.06499999999999995,-74.23735907246206
85,0.06499999999999995,-74.12783103230602
86,0.06499999999999995,-74.10652182346848
87,0.062000000000000055,-77.22635261438315
88,0.06499999999999995,-74.17912392907301
89,0.06499999999999995,-74.13927427561018
90,0.06499999999999995,-74.62792549411878
91,0.06499999999999995,-74.42443892614526
92,0.062000000000000055,-77.09780030926343
93,0.062000000000000055,-77.13775391190642
94,0.06499999999999995,-74.11529138650924
95,0.06299999999999994,-78.33370498369858
96,0.06499999999999995,-74.0051249070006
97,0.062000000000000055,-76.98316809561588
98,0.06499999999999995,-74.86520138745956
99,0.06699999999999995,-76.9609237416617
100,0.06699999999999995,-76.5844378414982
