,DS,MV,proposed1(wcv)
0,0.96,0.99,0.99
0,0.99,0.98,1.0
0,0.96,0.98,1.0
0,0.96,0.95,1.0
0,0.93,0.96,1.0
0,0.96,0.95,0.99
0,0.98,0.89,0.99
0,0.99,0.94,1.0
0,0.99,0.91,1.0
0,0.94,0.91,1.0
0,0.97,0.77,0.99
0,0.98,0.75,0.99
0,0.97,0.73,0.97
0,0.96,0.78,0.99
0,0.95,0.68,0.97
0,0.95,0.67,0.98
0,0.97,0.65,0.99
0,0.97,0.59,1.0
0,0.95,0.7,1.0
0,0.93,0.6,0.99
0,0.97,0.5,0.99
0,0.97,0.51,1.0
0,0.03,0.41,0.01
0,0.05,0.64,0.98
0,0.04,0.4,0.02
0,0.96,0.54,0.98
0,0.98,0.58,1.0
0,0.95,0.4,0.0
0,0.02,0.32,0.0
0,0.02,0.44,1.0
0,0.04,0.11,0.0
0,0.02,0.36,0.01
0,0.02,0.25,0.02
0,0.05,0.26,0.02
0,0.05,0.2,0.0
0,0.02,0.16,0.02
0,0.02,0.07,0.0
0,0.03,0.14,0.01
0,0.04,0.3,0.0
0,0.01,0.06,0.0
0,0.04,0.15,0.0
0,0.01,0.04,0.0
0,0.07,0.07,0.0
0,0.02,0.04,0.0
0,0.06,0.04,0.02
0,0.08,0.05,0.03
0,0.04,0.02,0.02
0,0.03,0.03,0.01
0,0.06,0.02,0.02
0,0.04,0.02,0.02
0,0.02,0.01,0.01
