,DS,MV,proposed1(wcv)
0,1.0,0.98,0.98
0,0.99,0.97,0.99
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,1.0,0.98,0.99
0,0.99,0.98,1.0
0,1.0,0.98,1.0
0,0.98,0.98,1.0
0,1.0,0.97,1.0
0,0.99,0.99,0.99
0,0.99,1.0,1.0
0,1.0,0.97,0.99
0,0.98,0.96,0.99
0,0.99,0.97,1.0
0,1.0,0.96,0.99
0,1.0,0.92,1.0
0,0.98,0.93,0.99
0,0.99,0.98,1.0
0,1.0,0.88,1.0
0,0.99,0.95,1.0
0,0.98,0.91,0.99
0,0.99,0.89,0.99
0,0.99,0.95,0.99
0,0.98,0.89,0.98
0,0.99,0.91,1.0
0,0.98,0.9,1.0
0,0.99,0.83,1.0
0,1.0,0.7,1.0
0,0.99,0.8,1.0
0,0.98,0.76,1.0
0,0.99,0.84,1.0
0,1.0,0.84,1.0
0,0.98,0.78,0.99
0,0.97,0.9,0.98
0,0.99,0.6,0.99
0,0.98,0.74,0.99
0,1.0,0.68,1.0
0,1.0,0.72,1.0
0,0.99,0.65,0.99
0,0.99,0.59,1.0
0,0.99,0.69,0.99
0,0.99,0.5,0.99
0,1.0,0.64,1.0
0,0.95,0.52,0.97
0,1.0,0.52,1.0
0,0.99,0.71,1.0
0,0.98,0.53,0.99
0,0.03,0.45,0.01
0,1.0,0.46,1.0
0,0.99,0.49,0.98
0,0.97,0.56,0.97
0,1.0,0.54,1.0
0,0.01,0.33,0.0
0,0.98,0.54,0.98
0,0.0,0.38,0.0
0,0.0,0.36,0.0
0,0.02,0.23,0.0
0,0.0,0.33,0.0
0,0.03,0.36,0.02
0,0.01,0.27,0.0
0,0.99,0.44,0.99
0,0.01,0.26,0.0
0,0.01,0.44,0.01
0,0.0,0.27,0.0
0,0.01,0.34,0.0
0,0.01,0.23,0.01
0,0.0,0.18,0.0
0,0.0,0.11,0.0
0,0.01,0.18,0.01
0,0.01,0.22,0.0
0,0.02,0.33,0.0
0,0.0,0.08,0.0
0,0.04,0.25,0.0
0,0.01,0.16,0.01
0,0.0,0.06,0.0
0,0.0,0.1,0.0
0,0.02,0.05,0.01
0,0.01,0.1,0.01
0,0.0,0.06,0.0
0,0.0,0.07,0.0
0,0.01,0.05,0.01
0,0.0,0.01,0.0
0,0.02,0.07,0.01
0,0.0,0.02,0.0
0,0.01,0.07,0.0
0,0.01,0.06,0.01
0,0.0,0.06,0.01
0,0.0,0.01,0.0
0,0.0,0.01,0.0
0,0.0,0.0,0.0
0,0.0,0.01,0.01
0,0.0,0.02,0.0
0,0.02,0.01,0.01
0,0.01,0.01,0.0
0,0.01,0.01,0.0
0,0.02,0.0,0.0
0,0.01,0.0,0.0
0,0.01,0.02,0.02
0,0.01,0.03,0.01
0,0.01,0.0,0.0
0,0.01,0.0,0.01
