,DS,MV,proposed1(wcv)
0,0.99,0.99,1.0
0,1.0,1.0,1.0
0,1.0,1.0,1.0
0,0.97,0.97,1.0
0,0.99,1.0,0.99
0,0.98,0.97,0.98
0,0.98,0.98,0.99
0,0.99,0.97,0.99
0,1.0,0.98,1.0
0,0.98,0.96,1.0
0,1.0,0.96,1.0
0,1.0,0.93,1.0
0,1.0,0.99,0.99
0,0.99,0.92,1.0
0,0.99,0.98,0.99
0,0.97,0.96,1.0
0,0.99,0.97,1.0
0,0.98,0.83,0.99
0,1.0,0.89,1.0
0,0.97,0.93,1.0
0,0.99,0.92,0.98
0,1.0,0.94,1.0
0,0.99,0.91,0.99
0,1.0,0.93,1.0
0,0.97,0.89,0.99
0,0.98,0.89,0.99
0,0.99,0.89,1.0
0,1.0,0.81,1.0
0,0.99,0.74,1.0
0,0.97,0.86,0.98
0,0.99,0.8,0.98
0,1.0,0.72,1.0
0,1.0,0.79,1.0
0,0.99,0.73,1.0
0,0.97,0.7,1.0
0,1.0,0.74,1.0
0,1.0,0.66,1.0
0,0.98,0.76,1.0
0,0.99,0.59,1.0
0,0.98,0.68,0.99
0,0.98,0.49,0.98
0,1.0,0.62,0.99
0,1.0,0.6,1.0
0,0.99,0.66,1.0
0,0.97,0.6,0.99
0,1.0,0.73,1.0
0,1.0,0.52,1.0
0,0.99,0.43,0.99
0,0.99,0.56,0.99
0,0.99,0.43,1.0
0,0.0,0.32,0.0
0,0.0,0.37,0.0
0,0.0,0.43,1.0
0,0.01,0.39,0.0
0,1.0,0.41,1.0
0,0.0,0.35,0.0
0,0.99,0.55,0.99
0,0.01,0.38,0.0
0,0.02,0.35,0.01
0,0.0,0.32,0.01
0,0.03,0.41,0.0
0,0.01,0.08,0.0
0,0.0,0.24,0.0
0,0.01,0.19,0.02
0,0.0,0.18,0.0
0,0.01,0.22,0.0
0,0.01,0.31,0.0
0,0.0,0.15,0.01
0,0.01,0.2,0.0
0,0.0,0.15,0.0
0,0.0,0.19,0.0
0,0.01,0.1,0.01
0,0.01,0.14,0.01
0,0.01,0.08,0.02
0,0.0,0.11,0.0
0,0.02,0.08,0.02
0,0.0,0.16,0.0
0,0.0,0.08,0.01
0,0.01,0.08,0.0
0,0.0,0.05,0.01
0,0.0,0.1,0.0
0,0.03,0.06,0.02
0,0.03,0.01,0.0
0,0.03,0.08,0.03
0,0.0,0.04,0.01
0,0.0,0.03,0.01
0,0.02,0.04,0.0
0,0.0,0.02,0.0
0,0.01,0.05,0.01
0,0.0,0.0,0.0
0,0.01,0.03,0.01
0,0.01,0.01,0.0
0,0.01,0.04,0.02
0,0.01,0.0,0.0
0,0.02,0.0,0.01
0,0.0,0.01,0.0
0,0.0,0.01,0.02
0,0.01,0.0,0.0
0,0.01,0.0,0.01
0,0.02,0.01,0.01
0,0.0,0.0,0.0
