,DS,MV,proposed1(wcv)
0,0.97,0.96,0.98
0,0.97,0.98,0.98
0,0.97,0.96,0.97
0,0.96,0.96,1.0
0,0.93,0.89,0.99
0,0.99,0.92,0.97
0,0.99,0.89,1.0
0,0.92,0.74,1.0
0,0.98,0.83,0.99
0,0.94,0.85,1.0
0,0.98,0.94,0.98
0,0.95,0.85,0.99
0,0.97,0.77,0.95
0,0.95,0.82,0.99
0,0.93,0.8,0.98
0,1.0,0.79,1.0
0,0.94,0.79,0.96
0,0.98,0.65,0.98
0,0.99,0.61,0.98
0,0.97,0.64,1.0
0,0.96,0.52,1.0
0,1.0,0.49,1.0
0,0.97,0.57,0.99
0,0.95,0.46,0.98
0,0.94,0.52,1.0
0,0.06,0.48,0.02
0,0.02,0.42,0.01
0,0.96,0.36,0.02
0,0.94,0.36,0.98
0,0.07,0.24,0.01
0,0.04,0.29,0.01
0,0.05,0.32,0.03
0,0.04,0.26,0.02
0,0.02,0.12,0.0
0,0.03,0.15,0.03
0,0.06,0.16,0.03
0,0.02,0.1,0.01
0,0.04,0.12,0.02
0,0.02,0.32,0.02
0,0.01,0.09,0.0
0,0.04,0.03,0.01
0,0.06,0.11,0.02
0,0.03,0.03,0.02
0,0.03,0.05,0.03
0,0.02,0.14,0.02
0,0.05,0.01,0.03
0,0.04,0.01,0.0
0,0.03,0.02,0.02
0,0.0,0.0,0.0
0,0.01,0.0,0.0
0,0.02,0.01,0.01
