,DS,MV,proposed1(wcv)
0,0.9,0.96,0.96
0,0.9,0.89,0.93
0,0.91,0.87,0.95
0,0.9,0.8,0.94
0,0.9,0.85,0.95
0,0.9,0.88,0.98
0,0.9,0.86,0.93
0,0.9,0.78,0.94
0,0.9,0.78,0.9
0,0.91,0.75,1.0
0,0.9,0.74,0.94
0,0.91,0.7,0.94
0,0.91,0.72,0.97
0,0.9,0.71,0.9
0,0.9,0.64,0.14
0,0.9,0.64,0.95
0,0.9,0.49,0.83
0,0.91,0.61,0.97
0,0.9,0.54,0.84
0,0.9,0.61,0.99
0,0.9,0.51,0.94
0,0.09,0.44,0.05
0,0.1,0.38,0.94
0,0.9,0.5,0.94
0,0.9,0.51,0.97
0,0.9,0.42,0.9
0,0.9,0.36,0.91
0,0.9,0.39,0.87
0,0.09,0.37,0.13
0,0.1,0.35,0.16
0,0.07,0.31,0.02
0,0.07,0.26,0.06
0,0.1,0.32,0.1
0,0.08,0.22,0.08
0,0.1,0.33,0.09
0,0.1,0.24,0.06
0,0.1,0.22,0.09
0,0.09,0.17,0.04
0,0.09,0.22,0.09
0,0.09,0.17,0.07
0,0.1,0.16,0.06
0,0.09,0.13,0.06
0,0.1,0.12,0.04
0,0.07,0.15,0.04
0,0.09,0.09,0.07
0,0.09,0.06,0.03
0,0.1,0.06,0.03
0,0.09,0.06,0.13
0,0.1,0.09,0.07
0,0.1,0.01,0.01
0,0.08,0.03,0.03
