,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.71,0.85,0.88,0.88
1,0.71,0.85,0.99,0.99
2,0.71,0.85,0.99,0.99
3,0.71,0.85,0.99,0.99
4,0.71,0.85,0.99,0.99
5,0.71,0.85,0.99,0.99
6,0.71,0.85,0.99,0.99
7,0.71,0.85,0.99,0.99
8,0.71,0.85,0.99,0.99
9,0.71,0.85,0.99,0.99
10,0.71,0.85,0.99,0.99
11,0.71,0.85,0.99,0.99
12,0.71,0.85,0.99,0.99
13,0.71,0.85,0.99,0.99
14,0.71,0.85,0.99,0.99
15,0.71,0.85,0.99,0.99
16,0.71,0.85,0.99,0.99
17,0.71,0.85,0.99,0.99
18,0.71,0.85,0.99,0.99
19,0.71,0.85,0.99,0.99
20,0.71,0.85,0.99,0.99
21,0.71,0.85,0.99,0.99
22,0.71,0.85,0.99,0.99
23,0.71,0.85,0.99,0.99
24,0.71,0.85,0.99,0.99
25,0.71,0.85,0.99,0.99
26,0.71,0.85,0.99,0.99
27,0.71,0.85,0.99,0.99
28,0.71,0.85,0.99,0.99
29,0.71,0.85,0.99,0.99
30,0.71,0.85,0.99,0.99
31,0.71,0.85,0.99,0.99
32,0.71,0.85,0.99,0.99
33,0.71,0.85,0.99,0.99
34,0.71,0.85,0.99,0.99
35,0.71,0.85,0.99,0.99
36,0.71,0.85,0.99,0.99
37,0.71,0.85,0.99,0.99
38,0.71,0.85,0.99,0.99
39,0.71,0.85,0.99,0.99
40,0.71,0.85,0.99,0.99
41,0.71,0.85,0.99,0.99
42,0.71,0.85,0.99,0.99
43,0.71,0.85,0.99,0.99
44,0.71,0.85,0.99,0.99
45,0.71,0.85,0.99,0.99
46,0.71,0.85,0.99,0.99
47,0.71,0.85,0.99,0.99
48,0.71,0.85,0.99,0.99
49,0.71,0.85,0.99,0.99
