,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.2,0.05,0.04,0.04
1,0.2,0.05,0.04,0.04
2,0.2,0.05,0.03,0.03
3,0.2,0.05,0.03,0.03
4,0.2,0.05,0.03,0.03
5,0.2,0.05,0.03,0.03
6,0.2,0.05,0.03,0.03
7,0.2,0.05,0.03,0.03
8,0.2,0.05,0.03,0.03
9,0.2,0.05,0.03,0.03
10,0.2,0.05,0.03,0.03
11,0.2,0.05,0.03,0.02
12,0.2,0.05,0.03,0.02
13,0.2,0.05,0.03,0.03
14,0.2,0.05,0.03,0.02
15,0.2,0.05,0.03,0.02
16,0.2,0.05,0.03,0.02
17,0.2,0.05,0.03,0.02
18,0.2,0.05,0.03,0.02
19,0.2,0.05,0.03,0.02
20,0.2,0.05,0.03,0.02
21,0.2,0.05,0.03,0.02
22,0.2,0.05,0.03,0.02
23,0.2,0.05,0.03,0.02
24,0.2,0.05,0.03,0.02
25,0.2,0.05,0.03,0.02
26,0.2,0.05,0.03,0.02
27,0.2,0.05,0.03,0.02
28,0.2,0.05,0.03,0.02
29,0.2,0.05,0.02,0.02
30,0.2,0.05,0.02,0.02
31,0.2,0.05,0.02,0.02
32,0.2,0.05,0.02,0.02
33,0.2,0.05,0.03,0.02
34,0.2,0.05,0.03,0.02
35,0.2,0.05,0.02,0.02
36,0.2,0.05,0.02,0.02
37,0.2,0.05,0.02,0.02
38,0.2,0.05,0.03,0.02
39,0.2,0.05,0.02,0.02
40,0.2,0.05,0.03,0.02
41,0.2,0.05,0.03,0.02
42,0.2,0.05,0.02,0.02
43,0.2,0.05,0.02,0.02
44,0.2,0.05,0.02,0.02
45,0.2,0.05,0.02,0.02
46,0.2,0.05,0.03,0.02
47,0.2,0.05,0.02,0.02
48,0.2,0.05,0.02,0.02
49,0.2,0.05,0.02,0.02
50,0.2,0.05,0.02,0.02
51,0.2,0.05,0.02,0.02
52,0.2,0.05,0.02,0.02
53,0.2,0.05,0.02,0.02
54,0.2,0.05,0.02,0.02
55,0.2,0.05,0.02,0.02
56,0.2,0.05,0.02,0.02
57,0.2,0.05,0.02,0.02
58,0.2,0.05,0.02,0.02
59,0.2,0.05,0.02,0.02
60,0.2,0.05,0.02,0.02
61,0.2,0.05,0.02,0.02
62,0.2,0.05,0.02,0.02
63,0.2,0.05,0.02,0.02
64,0.2,0.05,0.02,0.02
65,0.2,0.05,0.02,0.02
66,0.2,0.05,0.02,0.02
67,0.2,0.05,0.02,0.02
68,0.2,0.05,0.02,0.02
69,0.2,0.05,0.02,0.02
70,0.2,0.05,0.02,0.02
71,0.2,0.05,0.02,0.02
72,0.2,0.05,0.02,0.02
73,0.2,0.05,0.03,0.02
74,0.2,0.05,0.02,0.02
75,0.2,0.05,0.02,0.02
76,0.2,0.05,0.02,0.02
77,0.2,0.05,0.02,0.02
78,0.2,0.05,0.02,0.02
79,0.2,0.05,0.02,0.02
80,0.2,0.05,0.02,0.02
81,0.2,0.05,0.02,0.02
82,0.2,0.05,0.02,0.02
83,0.2,0.05,0.02,0.02
84,0.2,0.05,0.02,0.02
85,0.2,0.05,0.02,0.02
86,0.2,0.05,0.02,0.02
87,0.2,0.05,0.02,0.02
88,0.2,0.05,0.02,0.02
89,0.2,0.05,0.02,0.02
90,0.2,0.05,0.02,0.02
91,0.2,0.05,0.02,0.02
92,0.2,0.05,0.02,0.02
93,0.2,0.05,0.02,0.02
94,0.2,0.05,0.02,0.02
95,0.2,0.05,0.02,0.02
96,0.2,0.05,0.02,0.02
97,0.2,0.05,0.02,0.02
98,0.2,0.05,0.02,0.02
99,0.2,0.05,0.02,0.02
