,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.8,0.65,0.44,0.65
1,0.8,0.65,0.83,0.83
2,0.8,0.65,0.82,0.82
3,0.8,0.65,0.82,0.82
4,0.8,0.65,0.82,0.82
5,0.8,0.65,0.82,0.85
6,0.8,0.65,0.82,0.82
7,0.8,0.65,0.82,0.82
8,0.8,0.65,0.82,0.82
9,0.8,0.65,0.82,0.82
10,0.8,0.65,0.82,0.82
11,0.8,0.65,0.82,0.82
12,0.8,0.65,0.82,0.82
13,0.8,0.65,0.82,0.82
14,0.8,0.65,0.82,0.82
15,0.8,0.65,0.82,0.82
16,0.8,0.65,0.82,0.82
17,0.8,0.65,0.82,0.82
18,0.8,0.65,0.82,0.82
19,0.8,0.65,0.82,0.82
20,0.8,0.65,0.82,0.82
21,0.8,0.65,0.82,0.82
22,0.8,0.65,0.82,0.82
23,0.8,0.65,0.82,0.82
24,0.8,0.65,0.82,0.82
25,0.8,0.65,0.82,0.82
26,0.8,0.65,0.82,0.82
27,0.8,0.65,0.82,0.82
28,0.8,0.65,0.82,0.82
29,0.8,0.65,0.82,0.82
30,0.8,0.65,0.82,0.82
31,0.8,0.65,0.82,0.82
32,0.8,0.65,0.82,0.82
33,0.8,0.65,0.82,0.82
34,0.8,0.65,0.82,0.82
35,0.8,0.65,0.82,0.82
36,0.8,0.65,0.82,0.86
37,0.8,0.65,0.82,0.82
38,0.8,0.65,0.82,0.82
39,0.8,0.65,0.82,0.82
40,0.8,0.65,0.82,0.82
41,0.8,0.65,0.82,0.82
42,0.8,0.65,0.82,0.86
43,0.8,0.65,0.82,0.82
44,0.8,0.65,0.82,0.86
45,0.8,0.65,0.82,0.86
46,0.8,0.65,0.82,0.85
47,0.8,0.65,0.82,0.86
48,0.8,0.65,0.82,0.82
49,0.8,0.65,0.82,0.86
50,0.8,0.65,0.82,0.86
51,0.8,0.65,0.82,0.86
52,0.8,0.65,0.82,0.82
53,0.8,0.65,0.82,0.86
54,0.8,0.65,0.82,0.82
55,0.8,0.65,0.82,0.86
56,0.8,0.65,0.82,0.86
57,0.8,0.65,0.82,0.86
58,0.8,0.65,0.82,0.82
59,0.8,0.65,0.82,0.82
60,0.8,0.65,0.82,0.85
61,0.8,0.65,0.82,0.86
62,0.8,0.65,0.82,0.86
63,0.8,0.65,0.82,0.82
64,0.8,0.65,0.82,0.86
65,0.8,0.65,0.82,0.85
66,0.8,0.65,0.83,0.86
67,0.8,0.65,0.82,0.86
68,0.8,0.65,0.83,0.86
69,0.8,0.65,0.83,0.86
70,0.8,0.65,0.82,0.86
71,0.8,0.65,0.82,0.85
72,0.8,0.65,0.82,0.86
73,0.8,0.65,0.82,0.86
74,0.8,0.65,0.82,0.86
75,0.8,0.65,0.82,0.86
76,0.8,0.65,0.82,0.82
77,0.8,0.65,0.84,0.86
78,0.8,0.65,0.82,0.85
79,0.8,0.65,0.83,0.86
80,0.8,0.65,0.82,0.86
81,0.8,0.65,0.82,0.82
82,0.8,0.65,0.83,0.82
83,0.8,0.65,0.83,0.86
84,0.8,0.65,0.83,0.86
85,0.8,0.65,0.82,0.86
86,0.8,0.65,0.82,0.85
87,0.8,0.65,0.82,0.82
88,0.8,0.65,0.83,0.82
89,0.8,0.65,0.82,0.85
90,0.8,0.65,0.82,0.82
91,0.8,0.65,0.83,0.82
92,0.8,0.65,0.83,0.85
93,0.8,0.65,0.84,0.82
94,0.8,0.65,0.82,0.86
95,0.8,0.65,0.82,0.82
96,0.8,0.65,0.84,0.86
97,0.8,0.65,0.83,0.86
98,0.8,0.65,0.83,0.86
99,0.8,0.65,0.84,0.82
