,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.8,0.88,0.87,0.87
1,0.8,0.88,0.87,0.87
2,0.8,0.88,0.91,0.87
3,0.8,0.88,0.91,0.87
4,0.8,0.88,0.91,0.87
5,0.8,0.88,0.91,0.87
6,0.8,0.88,0.91,0.87
7,0.8,0.88,0.91,0.98
8,0.8,0.88,0.91,0.91
9,0.8,0.88,0.91,0.91
10,0.8,0.88,0.91,0.91
11,0.8,0.88,0.91,0.91
12,0.8,0.88,0.91,0.91
13,0.8,0.88,0.91,0.91
14,0.8,0.88,0.91,0.91
15,0.8,0.88,0.91,0.91
16,0.8,0.88,0.91,0.91
17,0.8,0.88,0.91,0.91
18,0.8,0.88,0.91,0.91
19,0.8,0.88,0.91,0.91
20,0.8,0.88,0.91,0.91
21,0.8,0.88,0.91,0.91
22,0.8,0.88,0.91,0.91
23,0.8,0.88,0.91,0.91
24,0.8,0.88,0.91,0.91
25,0.8,0.88,0.91,0.91
26,0.8,0.88,0.91,0.91
27,0.8,0.88,0.91,0.91
28,0.8,0.88,0.91,0.91
29,0.8,0.88,0.91,0.91
30,0.8,0.88,0.91,0.91
31,0.8,0.88,0.91,0.91
32,0.8,0.88,0.91,0.91
33,0.8,0.88,0.91,0.91
34,0.8,0.88,0.91,0.91
35,0.8,0.88,0.91,0.91
36,0.8,0.88,0.91,0.91
37,0.8,0.88,0.91,0.91
38,0.8,0.88,0.91,0.91
39,0.8,0.88,0.91,0.91
40,0.8,0.88,0.91,0.91
41,0.8,0.88,0.91,0.91
42,0.8,0.88,0.91,0.91
43,0.8,0.88,0.91,0.91
44,0.8,0.88,0.91,0.91
45,0.8,0.88,0.91,0.91
46,0.8,0.88,0.91,0.91
47,0.8,0.88,0.91,0.91
48,0.8,0.88,0.91,0.91
49,0.8,0.88,0.91,0.91
