,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.87,0.8,0.85,0.8
1,0.87,0.8,0.93,0.9
2,0.87,0.8,0.93,0.94
3,0.87,0.8,0.93,0.93
4,0.87,0.8,0.94,0.93
5,0.87,0.8,0.94,0.93
6,0.87,0.8,0.93,0.93
7,0.87,0.8,0.93,0.92
8,0.87,0.8,0.93,0.93
9,0.87,0.8,0.93,0.93
10,0.87,0.8,0.93,0.91
11,0.87,0.8,0.93,0.92
12,0.87,0.8,0.93,0.93
13,0.87,0.8,0.94,0.92
14,0.87,0.8,0.93,0.92
15,0.87,0.8,0.94,0.93
16,0.87,0.8,0.93,0.91
17,0.87,0.8,0.93,0.93
18,0.87,0.8,0.93,0.91
19,0.87,0.8,0.93,0.92
20,0.87,0.8,0.93,0.93
21,0.87,0.8,0.93,0.93
22,0.87,0.8,0.93,0.92
23,0.87,0.8,0.93,0.91
24,0.87,0.8,0.93,0.93
25,0.87,0.8,0.93,0.93
26,0.87,0.8,0.93,0.92
27,0.87,0.8,0.93,0.92
28,0.87,0.8,0.93,0.91
29,0.87,0.8,0.93,0.91
30,0.87,0.8,0.93,0.91
31,0.87,0.8,0.93,0.92
32,0.87,0.8,0.93,0.92
33,0.87,0.8,0.93,0.92
34,0.87,0.8,0.93,0.92
35,0.87,0.8,0.93,0.92
36,0.87,0.8,0.93,0.92
37,0.87,0.8,0.93,0.91
38,0.87,0.8,0.93,0.92
39,0.87,0.8,0.93,0.91
40,0.87,0.8,0.93,0.91
41,0.87,0.8,0.93,0.92
42,0.87,0.8,0.93,0.92
43,0.87,0.8,0.93,0.91
44,0.87,0.8,0.93,0.93
45,0.87,0.8,0.93,0.92
46,0.87,0.8,0.93,0.92
47,0.87,0.8,0.93,0.92
48,0.87,0.8,0.93,0.92
49,0.87,0.8,0.93,0.91
50,0.87,0.8,0.93,0.86
51,0.87,0.8,0.93,0.87
52,0.87,0.8,0.93,0.89
53,0.87,0.8,0.93,0.93
54,0.87,0.8,0.93,0.91
55,0.87,0.8,0.93,0.86
56,0.87,0.8,0.93,0.93
57,0.87,0.8,0.93,0.93
58,0.87,0.8,0.93,0.89
59,0.87,0.8,0.93,0.88
60,0.87,0.8,0.93,0.92
61,0.87,0.8,0.93,0.88
62,0.87,0.8,0.93,0.91
63,0.87,0.8,0.93,0.92
64,0.87,0.8,0.93,0.89
65,0.87,0.8,0.93,0.93
66,0.87,0.8,0.93,0.86
67,0.87,0.8,0.93,0.85
68,0.87,0.8,0.93,0.91
69,0.87,0.8,0.93,0.89
70,0.87,0.8,0.93,0.91
71,0.87,0.8,0.93,0.93
72,0.87,0.8,0.93,0.91
73,0.87,0.8,0.93,0.89
74,0.87,0.8,0.93,0.92
75,0.87,0.8,0.93,0.93
76,0.87,0.8,0.93,0.93
77,0.87,0.8,0.93,0.89
78,0.87,0.8,0.93,0.9
79,0.87,0.8,0.93,0.88
80,0.87,0.8,0.93,0.93
81,0.87,0.8,0.93,0.89
82,0.87,0.8,0.93,0.91
83,0.87,0.8,0.93,0.88
84,0.87,0.8,0.93,0.91
85,0.87,0.8,0.93,0.88
86,0.87,0.8,0.93,0.93
87,0.87,0.8,0.93,0.93
88,0.87,0.8,0.93,0.88
89,0.87,0.8,0.93,0.88
90,0.87,0.8,0.93,0.93
91,0.87,0.8,0.93,0.87
92,0.87,0.8,0.93,0.88
93,0.87,0.8,0.93,0.93
94,0.87,0.8,0.93,0.93
95,0.87,0.8,0.93,0.93
96,0.87,0.8,0.93,0.93
97,0.87,0.8,0.93,0.93
98,0.87,0.8,0.93,0.93
99,0.87,0.8,0.93,0.93
