,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.62,0.67,0.67,0.67
1,0.62,0.67,0.72,0.68
2,0.62,0.67,0.71,0.68
3,0.62,0.67,0.71,0.68
4,0.62,0.67,0.69,0.68
5,0.62,0.67,0.7,0.68
6,0.62,0.67,0.69,0.68
7,0.62,0.67,0.68,0.68
8,0.62,0.67,0.77,0.68
9,0.62,0.67,0.77,0.68
10,0.62,0.67,0.72,0.68
11,0.62,0.67,0.74,0.68
12,0.62,0.67,0.78,0.68
13,0.62,0.67,0.76,0.68
14,0.62,0.67,0.77,0.68
15,0.62,0.67,0.76,0.68
16,0.62,0.67,0.76,0.68
17,0.62,0.67,0.76,0.68
18,0.62,0.67,0.78,0.68
19,0.62,0.67,0.77,0.68
20,0.62,0.67,0.76,0.68
21,0.62,0.67,0.77,0.68
22,0.62,0.67,0.77,0.68
23,0.62,0.67,0.76,0.68
24,0.62,0.67,0.76,0.68
25,0.62,0.67,0.76,0.68
26,0.62,0.67,0.76,0.68
27,0.62,0.67,0.76,0.68
28,0.62,0.67,0.72,0.68
29,0.62,0.67,0.77,0.68
30,0.62,0.67,0.76,0.68
31,0.62,0.67,0.76,0.68
32,0.62,0.67,0.77,0.68
33,0.62,0.67,0.73,0.68
34,0.62,0.67,0.76,0.68
35,0.62,0.67,0.76,0.68
36,0.62,0.67,0.77,0.68
37,0.62,0.67,0.77,0.68
38,0.62,0.67,0.76,0.68
39,0.62,0.67,0.77,0.68
40,0.62,0.67,0.77,0.68
41,0.62,0.67,0.76,0.68
42,0.62,0.67,0.77,0.68
43,0.62,0.67,0.78,0.68
44,0.62,0.67,0.76,0.68
45,0.62,0.67,0.76,0.68
46,0.62,0.67,0.77,0.68
47,0.62,0.67,0.77,0.68
48,0.62,0.67,0.76,0.68
49,0.62,0.67,0.77,0.68
50,0.62,0.67,0.77,0.68
51,0.62,0.67,0.76,0.68
52,0.62,0.67,0.76,0.68
53,0.62,0.67,0.76,0.68
54,0.62,0.67,0.77,0.68
55,0.62,0.67,0.76,0.68
56,0.62,0.67,0.76,0.68
57,0.62,0.67,0.77,0.68
58,0.62,0.67,0.77,0.68
59,0.62,0.67,0.76,0.68
60,0.62,0.67,0.76,0.68
61,0.62,0.67,0.76,0.68
62,0.62,0.67,0.77,0.68
63,0.62,0.67,0.76,0.68
64,0.62,0.67,0.76,0.68
65,0.62,0.67,0.76,0.68
66,0.62,0.67,0.77,0.68
67,0.62,0.67,0.77,0.68
68,0.62,0.67,0.76,0.68
69,0.62,0.67,0.76,0.68
70,0.62,0.67,0.75,0.67
71,0.62,0.67,0.76,0.68
72,0.62,0.67,0.76,0.69
73,0.62,0.67,0.75,0.68
74,0.62,0.67,0.78,0.68
75,0.62,0.67,0.72,0.68
76,0.62,0.67,0.76,0.68
77,0.62,0.67,0.77,0.68
78,0.62,0.67,0.76,0.68
79,0.62,0.67,0.72,0.67
80,0.62,0.67,0.77,0.68
81,0.62,0.67,0.76,0.68
82,0.62,0.67,0.76,0.68
83,0.62,0.67,0.76,0.67
84,0.62,0.67,0.77,0.68
85,0.62,0.67,0.76,0.68
86,0.62,0.67,0.72,0.68
87,0.62,0.67,0.72,0.68
88,0.62,0.67,0.72,0.68
89,0.62,0.67,0.72,0.68
90,0.62,0.67,0.76,0.68
91,0.62,0.67,0.72,0.68
92,0.62,0.67,0.76,0.68
93,0.62,0.67,0.72,0.68
94,0.62,0.67,0.72,0.69
95,0.62,0.67,0.76,0.67
96,0.62,0.67,0.76,0.67
97,0.62,0.67,0.76,0.68
98,0.62,0.67,0.77,0.68
99,0.62,0.67,0.74,0.68
