,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.71,0.93,0.94,0.94
1,0.71,0.93,0.96,0.96
2,0.71,0.93,0.96,0.96
3,0.71,0.93,0.96,0.96
4,0.71,0.93,0.96,0.95
5,0.71,0.93,0.96,0.95
6,0.71,0.93,0.96,0.96
7,0.71,0.93,0.96,0.96
8,0.71,0.93,0.96,0.96
9,0.71,0.93,0.96,0.96
10,0.71,0.93,0.97,0.96
11,0.71,0.93,0.97,0.96
12,0.71,0.93,0.96,0.96
13,0.71,0.93,0.97,0.96
14,0.71,0.93,0.97,0.96
15,0.71,0.93,0.97,0.96
16,0.71,0.93,0.97,0.96
17,0.71,0.93,0.96,0.96
18,0.71,0.93,0.96,0.96
19,0.71,0.93,0.97,0.96
20,0.71,0.93,0.97,0.96
21,0.71,0.93,0.96,0.96
22,0.71,0.93,0.96,0.96
23,0.71,0.93,0.96,0.96
24,0.71,0.93,0.97,0.96
25,0.71,0.93,0.97,0.96
26,0.71,0.93,0.96,0.96
27,0.71,0.93,0.96,0.96
28,0.71,0.93,0.96,0.96
29,0.71,0.93,0.97,0.96
30,0.71,0.93,0.97,0.96
31,0.71,0.93,0.96,0.96
32,0.71,0.93,0.96,0.96
33,0.71,0.93,0.96,0.96
34,0.71,0.93,0.96,0.96
35,0.71,0.93,0.96,0.96
36,0.71,0.93,0.96,0.96
37,0.71,0.93,0.96,0.96
38,0.71,0.93,0.96,0.96
39,0.71,0.93,0.97,0.97
40,0.71,0.93,0.97,0.96
41,0.71,0.93,0.97,0.97
42,0.71,0.93,0.97,0.96
43,0.71,0.93,0.97,0.96
44,0.71,0.93,0.96,0.96
45,0.71,0.93,0.96,0.96
46,0.71,0.93,0.97,0.97
47,0.71,0.93,0.96,0.97
48,0.71,0.93,0.96,0.97
49,0.71,0.93,0.96,0.97
50,0.71,0.93,0.96,0.96
51,0.71,0.93,0.96,0.96
52,0.71,0.93,0.96,0.96
53,0.71,0.93,0.96,0.97
54,0.71,0.93,0.96,0.96
55,0.71,0.93,0.96,0.96
56,0.71,0.93,0.96,0.97
57,0.71,0.93,0.96,0.96
58,0.71,0.93,0.96,0.96
59,0.71,0.93,0.96,0.97
60,0.71,0.93,0.96,0.97
61,0.71,0.93,0.96,0.96
62,0.71,0.93,0.96,0.96
63,0.71,0.93,0.96,0.97
64,0.71,0.93,0.96,0.96
65,0.71,0.93,0.96,0.97
66,0.71,0.93,0.96,0.97
67,0.71,0.93,0.96,0.97
68,0.71,0.93,0.96,0.97
69,0.71,0.93,0.96,0.97
70,0.71,0.93,0.96,0.96
71,0.71,0.93,0.96,0.97
72,0.71,0.93,0.96,0.97
73,0.71,0.93,0.96,0.97
74,0.71,0.93,0.96,0.96
75,0.71,0.93,0.96,0.97
76,0.71,0.93,0.96,0.96
77,0.71,0.93,0.96,0.97
78,0.71,0.93,0.96,0.97
79,0.71,0.93,0.96,0.97
80,0.71,0.93,0.96,0.97
81,0.71,0.93,0.96,0.97
82,0.71,0.93,0.96,0.97
83,0.71,0.93,0.96,0.97
84,0.71,0.93,0.96,0.97
85,0.71,0.93,0.96,0.97
86,0.71,0.93,0.96,0.97
87,0.71,0.93,0.96,0.96
88,0.71,0.93,0.96,0.96
89,0.71,0.93,0.96,0.97
90,0.71,0.93,0.96,0.97
91,0.71,0.93,0.97,0.97
92,0.71,0.93,0.96,0.97
93,0.71,0.93,0.96,0.97
94,0.71,0.93,0.96,0.97
95,0.71,0.93,0.96,0.97
96,0.71,0.93,0.97,0.97
97,0.71,0.93,0.96,0.97
98,0.71,0.93,0.97,0.97
99,0.71,0.93,0.96,0.97
