,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.17,0.15,0.15,0.15
1,0.17,0.15,0.05,0.04
2,0.17,0.15,0.05,0.06
3,0.17,0.15,0.05,0.05
4,0.17,0.15,0.05,0.06
5,0.17,0.15,0.05,0.05
6,0.17,0.15,0.05,0.06
7,0.17,0.15,0.05,0.05
8,0.17,0.15,0.05,0.06
9,0.17,0.15,0.06,0.05
10,0.17,0.15,0.05,0.05
11,0.17,0.15,0.05,0.04
12,0.17,0.15,0.06,0.06
13,0.17,0.15,0.05,0.06
14,0.17,0.15,0.05,0.08
15,0.17,0.15,0.06,0.08
16,0.17,0.15,0.06,0.06
17,0.17,0.15,0.06,0.08
18,0.17,0.15,0.06,0.03
19,0.17,0.15,0.06,0.08
20,0.17,0.15,0.06,0.08
21,0.17,0.15,0.06,0.08
22,0.17,0.15,0.06,0.08
23,0.17,0.15,0.06,0.08
24,0.17,0.15,0.06,0.08
25,0.17,0.15,0.06,0.08
26,0.17,0.15,0.06,0.08
27,0.17,0.15,0.06,0.08
28,0.17,0.15,0.04,0.02
29,0.17,0.15,0.06,0.08
30,0.17,0.15,0.06,0.08
31,0.17,0.15,0.06,0.08
32,0.17,0.15,0.06,0.08
33,0.17,0.15,0.06,0.08
34,0.17,0.15,0.06,0.08
35,0.17,0.15,0.06,0.08
36,0.17,0.15,0.06,0.08
37,0.17,0.15,0.06,0.03
38,0.17,0.15,0.06,0.03
39,0.17,0.15,0.06,0.03
40,0.17,0.15,0.06,0.03
41,0.17,0.15,0.06,0.03
42,0.17,0.15,0.06,0.08
43,0.17,0.15,0.06,0.08
44,0.17,0.15,0.06,0.08
45,0.17,0.15,0.06,0.04
46,0.17,0.15,0.06,0.08
