,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.3,0.53,0.53,0.53
1,0.3,0.53,0.53,0.53
2,0.3,0.53,0.53,0.53
3,0.3,0.53,0.53,0.53
4,0.3,0.53,0.53,0.53
5,0.3,0.53,0.53,0.45
6,0.3,0.53,0.53,0.53
7,0.3,0.53,0.53,0.53
8,0.3,0.53,0.53,0.53
9,0.3,0.53,0.53,0.31
10,0.3,0.53,0.53,0.53
11,0.3,0.53,0.53,0.3
12,0.3,0.53,0.62,0.53
13,0.3,0.53,0.62,0.3
14,0.3,0.53,0.62,0.3
15,0.3,0.53,0.53,0.3
16,0.3,0.53,0.53,0.3
17,0.3,0.53,0.53,0.3
18,0.3,0.53,0.6,0.3
19,0.3,0.53,0.48,0.3
20,0.3,0.53,0.6,0.3
21,0.3,0.53,0.53,0.3
22,0.3,0.53,0.58,0.3
23,0.3,0.53,0.53,0.3
24,0.3,0.53,0.53,0.3
25,0.3,0.53,0.53,0.3
26,0.3,0.53,0.53,0.3
27,0.3,0.53,0.53,0.3
28,0.3,0.53,0.53,0.3
29,0.3,0.53,0.53,0.3
30,0.3,0.53,0.53,0.3
31,0.3,0.53,0.6,0.3
32,0.3,0.53,0.53,0.3
33,0.3,0.53,0.53,0.3
34,0.3,0.53,0.53,0.3
35,0.3,0.53,0.53,0.3
36,0.3,0.53,0.53,0.3
37,0.3,0.53,0.64,0.3
38,0.3,0.53,0.53,0.3
39,0.3,0.53,0.53,0.3
40,0.3,0.53,0.53,0.3
41,0.3,0.53,0.53,0.3
42,0.3,0.53,0.53,0.3
43,0.3,0.53,0.53,0.3
44,0.3,0.53,0.53,0.3
45,0.3,0.53,0.53,0.3
46,0.3,0.53,0.53,0.3
47,0.3,0.53,0.53,0.3
48,0.3,0.53,0.53,0.3
49,0.3,0.53,0.53,0.3
