,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.64,0.67,0.62,0.62
1,0.64,0.67,0.64,0.57
2,0.64,0.67,0.67,0.51
3,0.64,0.67,0.62,0.51
4,0.64,0.67,0.65,0.51
5,0.64,0.67,0.64,0.5
6,0.64,0.67,0.67,0.51
7,0.64,0.67,0.62,0.5
8,0.64,0.67,0.62,0.5
9,0.64,0.67,0.64,0.5
10,0.64,0.67,0.66,0.5
11,0.64,0.67,0.62,0.5
12,0.64,0.67,0.62,0.5
13,0.64,0.67,0.67,0.5
14,0.64,0.67,0.62,0.5
15,0.64,0.67,0.67,0.5
16,0.64,0.67,0.62,0.5
17,0.64,0.67,0.62,0.5
18,0.64,0.67,0.64,0.5
19,0.64,0.67,0.67,0.5
20,0.64,0.67,0.62,0.5
21,0.64,0.67,0.67,0.5
22,0.64,0.67,0.67,0.5
23,0.64,0.67,0.67,0.5
24,0.64,0.67,0.62,0.5
25,0.64,0.67,0.62,0.5
26,0.64,0.67,0.62,0.5
27,0.64,0.67,0.62,0.5
28,0.64,0.67,0.62,0.5
29,0.64,0.67,0.62,0.5
30,0.64,0.67,0.62,0.5
31,0.64,0.67,0.67,0.5
32,0.64,0.67,0.67,0.5
33,0.64,0.67,0.62,0.5
34,0.64,0.67,0.62,0.5
35,0.64,0.67,0.62,0.5
36,0.64,0.67,0.62,0.5
37,0.64,0.67,0.65,0.5
38,0.64,0.67,0.62,0.5
39,0.64,0.67,0.67,0.5
40,0.64,0.67,0.62,0.5
41,0.64,0.67,0.62,0.5
42,0.64,0.67,0.62,0.5
43,0.64,0.67,0.62,0.5
44,0.64,0.67,0.62,0.5
45,0.64,0.67,0.62,0.5
46,0.64,0.67,0.62,0.5
47,0.64,0.67,0.62,0.5
48,0.64,0.67,0.62,0.5
49,0.64,0.67,0.62,0.5
