,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.73,0.79,0.79,0.79
1,0.73,0.79,0.79,0.79
2,0.73,0.79,0.79,0.79
3,0.73,0.79,0.79,0.79
4,0.73,0.79,0.79,0.79
5,0.73,0.79,0.79,0.79
6,0.73,0.79,0.79,0.79
7,0.73,0.79,0.79,0.79
8,0.73,0.79,0.79,0.79
9,0.73,0.79,0.79,0.79
10,0.73,0.79,0.79,0.79
11,0.73,0.79,0.79,0.79
12,0.73,0.79,0.79,0.79
13,0.73,0.79,0.79,0.79
14,0.73,0.79,0.79,0.79
15,0.73,0.79,0.79,0.79
16,0.73,0.79,0.79,0.79
17,0.73,0.79,0.79,0.79
18,0.73,0.79,0.79,0.79
19,0.73,0.79,0.79,0.79
20,0.73,0.79,0.79,0.79
21,0.73,0.79,0.79,0.79
22,0.73,0.79,0.79,0.79
23,0.73,0.79,0.79,0.79
24,0.73,0.79,0.79,0.79
25,0.73,0.79,0.79,0.79
26,0.73,0.79,0.79,0.79
27,0.73,0.79,0.79,0.79
28,0.73,0.79,0.79,0.79
29,0.73,0.79,0.79,0.79
30,0.73,0.79,0.79,0.79
31,0.73,0.79,0.79,0.79
32,0.73,0.79,0.79,0.79
33,0.73,0.79,0.79,0.79
34,0.73,0.79,0.79,0.79
35,0.73,0.79,0.79,0.79
36,0.73,0.79,0.79,0.79
37,0.73,0.79,0.79,0.79
38,0.73,0.79,0.79,0.79
39,0.73,0.79,0.79,0.79
40,0.73,0.79,0.79,0.79
41,0.73,0.79,0.79,0.79
42,0.73,0.79,0.79,0.79
43,0.73,0.79,0.79,0.79
44,0.73,0.79,0.79,0.79
45,0.73,0.79,0.79,0.79
46,0.73,0.79,0.79,0.79
47,0.73,0.79,0.79,0.79
48,0.73,0.79,0.79,0.79
49,0.73,0.79,0.79,0.79
