,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.85,0.64,0.64,0.62
1,0.85,0.64,0.6,0.64
2,0.85,0.64,0.64,0.64
3,0.85,0.64,0.64,0.64
4,0.85,0.64,0.64,0.64
5,0.85,0.64,0.64,0.6
6,0.85,0.64,0.64,0.62
7,0.85,0.64,0.64,0.6
8,0.85,0.64,0.64,0.6
9,0.85,0.64,0.64,0.6
10,0.85,0.64,0.64,0.6
11,0.85,0.64,0.64,0.6
12,0.85,0.64,0.64,0.6
13,0.85,0.64,0.64,0.6
14,0.85,0.64,0.65,0.6
15,0.85,0.64,0.64,0.6
16,0.85,0.64,0.64,0.6
17,0.85,0.64,0.65,0.6
18,0.85,0.64,0.68,0.6
19,0.85,0.64,0.67,0.6
20,0.85,0.64,0.66,0.6
21,0.85,0.64,0.65,0.6
22,0.85,0.64,0.69,0.6
23,0.85,0.64,0.67,0.6
24,0.85,0.64,0.68,0.6
25,0.85,0.64,0.66,0.6
26,0.85,0.64,0.62,0.6
27,0.85,0.64,0.68,0.6
28,0.85,0.64,0.65,0.6
29,0.85,0.64,0.65,0.6
30,0.85,0.64,0.64,0.6
31,0.85,0.64,0.62,0.6
32,0.85,0.64,0.68,0.6
33,0.85,0.64,0.69,0.6
34,0.85,0.64,0.65,0.6
35,0.85,0.64,0.64,0.6
36,0.85,0.64,0.67,0.6
37,0.85,0.64,0.66,0.6
38,0.85,0.64,0.64,0.6
39,0.85,0.64,0.65,0.6
40,0.85,0.64,0.68,0.6
41,0.85,0.64,0.67,0.6
42,0.85,0.64,0.64,0.6
43,0.85,0.64,0.64,0.6
44,0.85,0.64,0.64,0.6
45,0.85,0.64,0.63,0.6
46,0.85,0.64,0.7,0.6
47,0.85,0.64,0.69,0.6
48,0.85,0.64,0.66,0.6
49,0.85,0.64,0.66,0.6
