,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.86,0.8,0.79,0.79
1,0.86,0.8,0.96,0.9
2,0.86,0.8,0.96,0.96
3,0.86,0.8,0.96,0.96
4,0.86,0.8,0.96,0.88
5,0.86,0.8,0.96,0.88
6,0.86,0.8,0.96,0.96
7,0.86,0.8,0.96,0.96
8,0.86,0.8,0.96,0.96
9,0.86,0.8,0.96,0.96
10,0.86,0.8,0.89,0.97
11,0.86,0.8,0.89,0.96
12,0.86,0.8,0.89,0.89
13,0.86,0.8,0.89,0.89
14,0.86,0.8,0.9,0.89
15,0.86,0.8,0.89,0.89
16,0.86,0.8,0.9,0.9
17,0.86,0.8,0.9,0.9
18,0.86,0.8,0.89,0.89
19,0.86,0.8,0.9,0.88
20,0.86,0.8,0.88,0.88
21,0.86,0.8,0.89,0.89
22,0.86,0.8,0.9,0.88
23,0.86,0.8,0.9,0.88
24,0.86,0.8,0.9,0.88
25,0.86,0.8,0.9,0.88
26,0.86,0.8,0.9,0.88
27,0.86,0.8,0.89,0.88
28,0.86,0.8,0.89,0.88
29,0.86,0.8,0.89,0.89
30,0.86,0.8,0.89,0.89
31,0.86,0.8,0.9,0.88
32,0.86,0.8,0.89,0.89
33,0.86,0.8,0.89,0.89
34,0.86,0.8,0.89,0.89
35,0.86,0.8,0.89,0.89
36,0.86,0.8,0.89,0.89
37,0.86,0.8,0.89,0.9
38,0.86,0.8,0.89,0.89
39,0.86,0.8,0.88,0.88
40,0.86,0.8,0.9,0.88
41,0.86,0.8,0.89,0.88
42,0.86,0.8,0.9,0.89
43,0.86,0.8,0.9,0.89
44,0.86,0.8,0.9,0.88
45,0.86,0.8,0.89,0.88
46,0.86,0.8,0.9,0.89
47,0.86,0.8,0.89,0.88
48,0.86,0.8,0.88,0.88
49,0.86,0.8,0.9,0.89
