,DS,MV,proposed1(wcv),proposed2(wcv_wp)
0,0.07,0.17,0.26,0.17
1,0.07,0.17,0.03,0.04
2,0.07,0.17,0.03,0.03
3,0.07,0.17,0.04,0.04
4,0.07,0.17,0.02,0.03
5,0.07,0.17,0.04,0.02
6,0.07,0.17,0.04,0.02
7,0.07,0.17,0.04,0.04
8,0.07,0.17,0.04,0.03
9,0.07,0.17,0.04,0.04
10,0.07,0.17,0.04,0.04
11,0.07,0.17,0.04,0.04
12,0.07,0.17,0.04,0.03
13,0.07,0.17,0.02,0.03
14,0.07,0.17,0.02,0.02
15,0.07,0.17,0.04,0.03
16,0.07,0.17,0.04,0.02
17,0.07,0.17,0.04,0.03
18,0.07,0.17,0.04,0.03
19,0.07,0.17,0.04,0.02
20,0.07,0.17,0.04,0.02
21,0.07,0.17,0.04,0.02
22,0.07,0.17,0.02,0.03
23,0.07,0.17,0.04,0.04
24,0.07,0.17,0.03,0.04
25,0.07,0.17,0.04,0.02
26,0.07,0.17,0.04,0.04
27,0.07,0.17,0.04,0.04
28,0.07,0.17,0.03,0.02
29,0.07,0.17,0.04,0.04
30,0.07,0.17,0.02,0.04
31,0.07,0.17,0.04,0.04
32,0.07,0.17,0.04,0.03
33,0.07,0.17,0.02,0.03
34,0.07,0.17,0.02,0.04
35,0.07,0.17,0.03,0.02
36,0.07,0.17,0.04,0.04
37,0.07,0.17,0.02,0.03
38,0.07,0.17,0.02,0.04
39,0.07,0.17,0.04,0.04
40,0.07,0.17,0.03,0.03
41,0.07,0.17,0.02,0.02
42,0.07,0.17,0.03,0.03
43,0.07,0.17,0.04,0.04
44,0.07,0.17,0.04,0.04
45,0.07,0.17,0.04,0.02
46,0.07,0.17,0.04,0.04
47,0.07,0.17,0.04,0.03
48,0.07,0.17,0.07,0.03
49,0.07,0.17,0.02,0.03
